\N	tt10009930:-	tt10009938:-	tt10009942:-	tt10009944:-	tt10009948:-	tt10085170:-	tt3618394:-	tt3696630:-	tt3714988:-	tt5300640:-	tt5300646:-	tt5300648:-	tt5300652:-	tt5300654:-	tt5300656:-	tt5300658:-	tt5300662:-	tt5300664:-	tt5300668:-	tt5888156:-	tt8416964:-	tt8447832:-	tt8547924:-	tt8547934:-	tt8889482:-	tt8999748:-	tt8999752:-	
1	tt1324699:-	tt1324700:-	
2	tt3618402:-	
3	tt3696614:-	
4	tt5878890:-	
5	tt5878906:-	
6	tt5878942:-	
7	tt5888110:-	
18	tt8980764:-	
8	tt8980792:-	
9	tt8980800:-	
10	tt8980808:-	
11	tt8980814:-	
