8	tt0684140:7.6	tt0684141:7.6	tt0684142:7.4	tt0684150:8.1	tt0684162:7.5	tt0684167:7.4	tt0684170:7.1	tt0684171:7.0	
5	tt0684143:9.4	tt0684159:8.4	tt0684174:9.1	tt0684179:8.2	tt0684182:8.3	tt0756588:8.2	
3	tt0684144:8.7	tt0684148:8.1	tt0684172:8.9	tt0684183:8.3	tt0684185:8.4	tt0767232:8.6	
1	tt0684145:7.7	tt0684151:7.8	tt0684157:8.2	tt0684165:8.3	tt0684181:8.1	tt0684186:7.7	
2	tt0684146:8.6	tt0684161:8.1	tt0684169:8.2	tt0684175:8.8	tt0684177:8.4	tt0684180:8.5	
7	tt0684147:7.1	tt0684154:7.1	tt0684156:7.5	tt0684166:7.4	tt0684168:7.4	tt0684178:8.2	tt0684184:8.0	tt0756587:7.8	
4	tt0684149:7.8	tt0684152:8.3	tt0684153:8.7	tt0684160:8.6	tt0684164:8.2	tt0684187:8.6	
6	tt0684155:8.1	tt0684158:8.7	tt0684163:8.9	tt0684173:8.3	tt0684176:8.4	tt0756589:8.5	
9	tt1365540:6.4	tt1371606:6.4	tt1400975:6.7	
10	tt1997038:8.4	tt1999714:8.2	tt1999715:8.2	tt1999716:7.7	tt1999717:7.7	tt1999718:8.2	
11	tt5218244:7.5	tt5218254:7.8	tt5218266:7.9	tt5218284:7.9	tt5218308:7.7	tt5218316:7.9	
12	tt5218436:7.4	tt5218438:6.5	tt5218440:7.6	tt5218456:7.7	tt5218458:7.7	tt5218472:8.6	
13	tt8413836:7.7	
