1	tt0941675:8.2	tt1169547:7.2	tt1169548:7.2	tt1169549:7.2	tt1169550:7.6	tt1169551:7.2	tt1169552:6.8	tt1169553:7.2	
2	tt1400847:8.4	tt1400848:8.2	tt1402380:6.9	tt1402381:8.2	tt1402383:8.2	tt1402384:7.1	tt1402385:8.2	tt1402386:7.6	tt1402388:7.9	tt1650194:8.2	tt1985472:8.1	
3	tt1514697:7.7	tt1628821:8.0	tt1667229:7.6	tt1667387:8.5	tt1671128:7.1	tt1671129:8.5	tt1671130:7.3	tt1671131:8.0	tt1671132:8.8	tt1671133:7.1	tt1671134:8.3	tt1671135:8.2	
4	tt1716104:7.5	tt1744688:6.3	tt1785952:7.9	tt1785953:-	tt1785954:8.2	tt1785955:8.2	tt1785956:8.4	tt1785957:8.7	tt2099196:-	tt2100000:7.6	tt2100974:8.8	tt2100975:-	
5	tt2012270:-	tt2012271:-	tt2012272:-	tt2012273:-	tt2013706:-	tt2104435:-	tt2112547:-	tt2112548:-	tt2120405:9.0	tt2120406:-	tt2120407:-	tt2120408:3.4	
\N	tt2120409:-	
6	tt2316948:-	tt2506362:-	tt2641542:8.5	tt2655754:-	tt2672276:-	tt2916464:-	tt3418744:-	tt3426208:-	tt3441054:-	tt3456178:-	tt3495780:-	
7	tt3417646:6.8	tt3495710:-	tt3495722:-	tt3550044:-	tt3622766:-	tt3622770:-	tt3632224:-	tt3632226:-	tt3632230:-	tt3632232:-	tt3632240:-	tt3632242:-	
8	tt4364674:-	tt4456974:8.6	tt4456980:-	tt4467884:-	tt4498324:-	tt4518618:-	tt4524060:-	tt4532500:-	tt4721190:-	tt4721192:-	tt4736724:-	tt4761040:-	
