1	tt11975284:-	tt11975288:-	tt11975290:-	tt11975292:-	tt11975294:-	tt11975296:-	tt11975300:-	tt11975302:-	tt11975304:-	tt11975308:-	tt11975310:-	tt11975312:-	
2	tt11975314:-	tt11975318:-	tt11975322:-	tt11975324:-	tt11975326:-	tt11975330:-	tt11975332:-	tt11975334:-	tt11975336:-	tt11975340:-	tt11976948:-	tt11976952:-	
3	tt11976954:-	tt11976958:-	tt11976964:-	tt11976966:-	tt11976970:-	tt11976974:-	tt11976976:-	tt11976980:-	
4	tt11976984:-	tt11976988:-	tt11976996:-	tt11977000:-	tt11977004:-	tt11977188:-	tt11977198:-	
5	tt11977206:-	tt11977208:-	tt11977216:-	tt11977218:-	tt11977228:-	tt11977242:-	tt11977280:-	tt11977286:-	
6	tt11977302:-	tt11977306:-	tt11977310:-	tt11977312:-	tt11977320:-	tt11977330:-	tt11977334:-	
7	tt11977348:-	tt11977366:-	tt11977374:-	tt11977392:-	tt11977400:-	tt11977418:-	
8	tt11977458:-	tt11977476:-	tt11977490:-	tt11977500:-	tt11977502:-	tt11977506:-	
9	tt11977514:-	tt11977526:-	tt11977530:-	tt11977550:-	tt11977570:-	tt11977572:-	
\N	tt11978082:-	
