1	tt0083787:6.2	tt0304241:7.6	tt1108056:-	tt1192194:-	tt2157684:-	
5	tt0084186:-	tt0204374:-	tt0297766:5.9	tt1192917:-	
4	tt0084676:6.9	tt0381499:8.3	tt1015562:-	
3	tt0182241:6.2	tt0381225:7.1	tt1078202:-	
2	tt0202126:7.0	tt0313428:-	tt1015561:-	tt1577218:-	tt2157644:-	tt2400593:-	tt2400595:-	tt2400597:-	
