1	tt7584356:7.7	tt7697916:8.2	tt7697918:8.0	tt7697920:8.0	tt7697922:7.9	tt7697926:8.2	tt7697928:8.7	tt7697930:8.4	tt7697932:8.2	tt7697934:7.6	tt9278078:7.9	
2	tt7697958:8.4	tt7697960:7.7	tt7697962:9.2	tt7697964:8.1	tt7697966:7.7	tt7697968:8.0	tt7697970:8.9	tt7697972:8.8	tt7697974:8.9	
3	tt9578380:-	tt9578382:-	tt9578386:-	tt9578388:-	tt9578390:-	tt9578394:-	tt9578396:-	tt9578398:-	
4	tt9578400:-	tt9578402:-	tt9578404:-	tt9578406:-	tt9578408:-	tt9578410:-	tt9578412:-	tt9578414:-	
