2	tt0535927:-	tt0535928:-	tt1142324:-	tt1524644:-	tt1589664:-	tt1589665:-	tt4835704:-	tt4835716:-	tt4835734:-	tt4835742:-	tt4835754:-	tt4835760:-	tt4835762:-	tt4835766:-	tt4835774:-	tt4835776:-	tt4835780:-	tt4835784:-	tt4835786:-	tt4835792:-	tt4835796:-	tt4835800:-	tt4835802:-	tt4835808:-	tt4835816:-	tt4835820:-	tt4835830:-	tt4835836:-	tt4835842:-	tt4835846:-	tt4835848:-	tt4835852:-	tt4835866:-	tt4835870:-	
3	tt0535929:4.1	tt1091322:-	tt1179517:-	tt2032647:-	tt5579108:-	tt5579116:-	tt5579120:-	tt5596284:-	tt5600834:-	tt5600844:-	tt5605816:-	tt5605832:-	tt5612298:-	tt5612320:-	tt5617068:-	tt5617088:-	tt5617100:-	tt5617112:-	tt5617128:-	tt5617150:-	tt5617162:-	tt5617166:-	tt5617170:-	tt5617178:-	tt5617182:-	tt5617190:-	tt5617196:-	tt5617202:-	tt5617204:-	tt5617214:-	tt5617218:-	tt5617248:-	tt5617268:-	
1	tt0787563:-	tt0787564:-	tt4764752:-	tt4764754:-	tt4764756:-	tt4764758:-	tt4764762:-	tt4764764:-	tt4764768:-	tt4764770:-	tt4764772:-	tt4764774:-	tt4764780:-	tt4764786:-	tt4764790:-	tt4764792:-	tt4764796:-	tt4764800:-	tt4764802:-	tt4764808:-	tt4764810:-	tt4764814:-	tt4764818:-	tt4764820:-	tt4764822:-	tt4764826:-	
4	tt0882165:-	tt0898460:-	tt0934037:-	tt0938951:-	tt0941120:-	tt0941121:-	tt0941122:-	tt0941123:-	tt0941124:-	tt0941125:-	tt0941126:-	tt0941127:-	tt0941128:-	tt4765076:-	tt4765078:-	tt5732520:-	tt5732526:-	tt5732552:-	tt5732562:-	tt5732580:-	tt5732596:-	tt5732606:-	tt5732624:-	tt5732642:-	tt5732652:-	tt5732666:-	tt5732688:-	tt5732740:-	tt5732832:-	tt5732868:-	tt5732902:-	tt5732972:-	
5	tt1208078:-	tt1550374:-	tt1550375:-	tt1631527:-	tt1788546:-	tt1862593:-	tt1862594:-	tt1862595:-	tt1862596:-	tt1862597:-	tt1862598:-	tt1862599:-	tt1862600:-	tt1862601:-	tt1862602:-	tt1862603:-	tt1862604:-	tt1862605:-	tt1862606:-	tt1862607:-	tt1862608:-	tt1862609:-	tt1862610:-	tt1862611:-	tt1862612:-	tt1862613:-	tt1862614:-	tt1862615:-	tt1862616:-	tt1862617:-	tt1863547:-	
6	tt1265735:-	tt1266771:-	tt1266772:-	tt1266773:-	tt1291758:-	tt1858868:-	tt1858869:-	tt1858870:-	tt1859699:-	tt1859700:-	tt1859701:-	tt1859702:-	tt1859703:-	tt1859704:-	tt1859705:-	tt1859706:-	tt1859707:-	tt1859708:-	tt1859709:-	tt1859710:-	tt1859711:-	tt1859712:-	tt1859713:-	tt1859714:-	tt1859715:-	tt1859716:-	tt1859717:-	tt1859718:-	tt1859719:-	tt1859720:-	tt1859721:-	tt1859722:-	
