\N	tt10022964:-	
1	tt1495192:-	tt1547796:-	tt1547797:-	tt1547798:-	tt1547799:-	
2	tt1562753:-	tt1562754:8.4	tt1562755:-	tt1562756:-	
3	tt1684313:8.7	tt1688590:-	tt2128096:-	tt2128097:-	
