4	tt0602458:-	tt0602476:-	tt0602490:9.7	tt0602497:-	tt0602499:-	tt0602504:-	tt0602507:-	tt0602509:-	tt0602513:9.4	tt0602518:-	tt0602535:-	tt0602541:-	tt0602542:-	tt0602544:-	tt0602546:-	tt0602547:8.7	tt0602558:-	tt0602559:-	tt0602560:-	tt0602575:-	tt0602576:-	tt0602577:-	tt0602584:9.0	tt0602589:-	tt0602591:-	tt0602593:-	tt0602598:-	tt0602603:-	tt0602606:-	tt0602613:-	tt0602630:-	tt0602631:-	tt0602633:9.0	tt0602644:-	tt0602647:-	tt0602651:-	tt0602652:-	tt0602653:-	tt0602654:-	tt0602663:-	tt0602669:-	tt0602671:-	tt0602684:-	tt0602690:9.2	tt0602696:-	tt0602705:-	tt0602707:-	tt0602709:-	tt0602712:-	tt0602721:-	tt0602730:9.4	tt0602731:-	
7	tt0602459:-	tt0602464:-	tt0602470:-	tt0602474:-	tt0602479:9.2	tt0602480:-	tt0602483:-	tt0602485:-	tt0602487:-	tt0602488:9.1	tt0602493:-	tt0602501:-	tt0602503:-	tt0602514:-	tt0602515:9.3	tt0602521:-	tt0602523:9.4	tt0602525:-	tt0602533:-	tt0602552:9.3	tt0602555:-	tt0602563:-	tt0602567:-	tt0602574:9.7	tt0602592:-	tt0602595:-	tt0602599:-	tt0602601:9.1	tt0602604:-	tt0602616:9.1	tt0602617:9.2	tt0602621:-	tt0602624:-	tt0602626:-	tt0602629:9.0	tt0602634:-	tt0602635:8.9	tt0602642:-	tt0602655:-	tt0602661:8.9	tt0602662:-	tt0602667:-	tt0602679:-	tt0602680:9.0	tt0602681:9.2	tt0602695:-	tt0602698:9.0	tt0602708:-	tt0602714:-	tt0602718:9.2	tt0602720:-	tt0602728:-	
3	tt0602460:-	tt0602461:-	tt0602462:-	tt0602475:-	tt0602481:-	tt0602491:-	tt0602506:-	tt0602529:-	tt0602534:-	tt0602537:-	tt0602538:-	tt0602545:-	tt0602549:-	tt0602557:-	tt0602566:8.4	tt0602608:-	tt0602612:-	tt0602615:8.8	tt0602638:-	tt0602645:-	tt0602648:-	tt0602660:-	tt0602675:-	tt0602685:-	tt0602691:-	tt0602692:8.8	tt0602693:-	tt0602703:-	tt0602706:-	tt0602729:-	
5	tt0602463:-	tt0602465:-	tt0602469:-	tt0602471:-	tt0602473:-	tt0602477:-	tt0602482:8.2	tt0602486:-	tt0602496:-	tt0602498:8.7	tt0602500:8.2	tt0602512:-	tt0602517:-	tt0602519:-	tt0602524:-	tt0602527:9.4	tt0602528:9.0	tt0602530:9.2	tt0602531:-	tt0602539:-	tt0602548:-	tt0602550:-	tt0602553:9.7	tt0602562:9.8	tt0602565:-	tt0602578:9.4	tt0602583:-	tt0602585:9.2	tt0602587:9.3	tt0602594:9.0	tt0602596:9.7	tt0602600:-	tt0602602:-	tt0602609:-	tt0602619:9.2	tt0602620:-	tt0602623:-	tt0602632:8.0	tt0602637:-	tt0602646:-	tt0602650:-	tt0602656:8.3	tt0602657:9.0	tt0602686:-	tt0602687:-	tt0602689:-	tt0602697:-	tt0602700:-	tt0602702:9.4	tt0602704:-	tt0602725:-	tt0602732:-	
6	tt0602466:-	tt0602472:-	tt0602478:-	tt0602484:-	tt0602510:-	tt0602516:-	tt0602526:-	tt0602536:-	tt0602540:-	tt0602543:-	tt0602551:-	tt0602556:-	tt0602561:-	tt0602564:-	tt0602568:-	tt0602569:-	tt0602570:-	tt0602571:-	tt0602572:-	tt0602579:-	tt0602582:-	tt0602590:-	tt0602610:-	tt0602614:-	tt0602618:-	tt0602622:-	tt0602625:-	tt0602627:-	tt0602628:-	tt0602640:-	tt0602643:-	tt0602658:-	tt0602659:-	tt0602668:-	tt0602674:-	tt0602676:-	tt0602677:-	tt0602678:-	tt0602682:-	tt0602694:-	tt0602701:-	tt0602710:-	tt0602713:-	tt0602715:-	tt0602716:-	tt0602717:-	tt0602719:-	tt0602722:-	tt0602723:-	tt0602724:-	tt0602726:-	tt0602735:-	
2	tt0602467:-	tt0602468:-	tt0602505:-	tt0602520:-	tt0602522:-	tt0602532:-	tt0602573:-	tt0602581:-	tt0602588:-	tt0602641:-	tt0602649:9.7	tt0602666:-	tt0602672:-	tt0602699:-	tt0602711:-	tt0602734:-	
8	tt0602489:-	tt0602494:-	tt0602495:-	tt0602502:-	tt0602508:-	tt0602511:-	tt0602586:-	tt0602605:-	tt0602607:-	tt0602636:-	tt0602639:-	tt0602673:-	tt0602683:-	tt0602688:-	tt0602733:-	tt0758087:-	tt0760771:-	tt0763175:-	tt0763176:-	tt0765619:-	tt0771450:-	tt0773890:-	tt0778253:-	tt0780253:-	tt0780749:-	tt0784090:-	tt0788618:-	tt0789465:-	tt0790049:-	tt0792109:-	tt0796090:-	tt0796091:-	tt0796092:-	tt0815485:-	tt0816004:-	tt0821275:-	tt0821276:-	tt0824974:-	tt0825884:-	tt0826370:-	tt0828785:-	tt0837332:-	tt0840107:9.4	tt0843746:-	tt0843930:-	tt0845234:-	tt0850922:-	tt0853645:-	tt0853646:-	tt0871150:-	tt0879076:-	tt0883726:8.9	
1	tt0602492:-	tt0602554:6.4	tt0602580:6.6	tt0602597:-	tt0602611:-	tt0602664:-	tt0602665:-	tt0602670:-	tt0602727:6.0	
9	tt0886894:-	tt0886895:-	tt0886896:-	tt0886897:-	tt0890847:-	tt0891792:-	tt0894130:-	tt0894131:-	tt0896222:-	tt0900579:-	tt0909581:-	tt0917150:-	tt0923214:-	tt0927303:-	tt0927304:-	tt0950191:-	tt0954413:-	tt0954414:-	tt0959116:-	tt0964287:-	tt0966901:-	tt0967722:-	tt0975264:-	tt0989253:-	tt0994238:-	tt0995386:-	tt0998460:-	tt1000992:-	tt1007379:-	tt1019100:-	tt1019101:-	tt1028715:-	tt1033836:-	tt1039266:-	tt1043138:-	tt1052708:-	tt1057094:-	tt1061245:-	tt1068025:-	tt1071597:-	tt1075549:-	tt1078774:-	tt1082661:-	tt1086137:-	tt1090463:-	tt1093991:-	tt1098251:-	tt1103540:6.8	tt1107589:-	tt1112186:-	tt1117064:-	tt1122290:-	
21	tt10009370:-	tt10074850:-	tt10098608:-	tt10128142:-	tt10135318:-	tt10168256:-	tt10228478:-	tt10234226:-	tt10300300:-	tt10312306:-	tt10422440:-	tt10448500:-	tt10471942:-	tt10478654:-	tt10498288:-	tt10498326:-	tt10685722:-	tt10685736:-	tt10714762:-	tt10757924:-	tt10757926:5.6	tt10757994:7.6	tt10757996:7.7	tt10766058:-	tt10839822:-	tt10840210:-	tt10876538:7.4	tt10876598:-	tt10944326:-	tt10944342:7.6	tt10995314:7.4	tt11019516:-	tt11091774:-	tt11123884:5.5	tt11232176:7.3	tt11359926:-	tt11441398:-	tt11473620:-	tt11473644:-	tt11534312:-	tt9415124:7.3	tt9452698:-	tt9544138:-	tt9573642:-	tt9610608:7.2	tt9613822:-	tt9653850:-	tt9690284:-	tt9737218:-	tt9780118:-	tt9822168:-	tt9848110:8.1	tt9869662:-	
