1	tt5200474:9.0	tt5215276:8.7	tt5215278:8.6	tt5215280:8.7	tt5345100:7.9	tt5359978:8.9	tt5359986:9.0	tt5359990:9.0	tt5465820:8.4	tt5465858:8.5	tt5479248:9.1	tt5513508:9.1	tt5513512:9.3	
2	tt5946792:8.9	tt6474348:9.0	tt6611288:9.2	tt6628692:9.1	tt6628708:9.1	tt6802534:9.1	tt6809996:9.1	tt6865510:9.0	tt6873860:9.0	tt6876358:9.2	tt6876362:9.1	tt6876368:9.3	
3	tt7192416:8.8	tt8057504:9.1	tt8057520:8.8	tt8483178:8.9	tt8488952:8.9	tt8488956:9.0	tt8532134:9.1	tt8532140:8.9	tt8532144:8.8	tt8792056:8.9	tt8801204:9.1	tt8801208:9.4	
4	tt8873738:9.4	tt8873746:9.5	tt8873762:9.3	tt8873768:9.4	tt8873776:9.4	tt8873778:9.4	tt8873786:9.3	tt8873788:9.4	tt8873792:9.5	tt8873798:9.6	tt8873802:9.6	tt8879356:9.3	
