3	tt10137720:6.0	tt10159920:6.7	tt10352692:6.4	tt10635622:-	tt10897490:-	tt11115888:-	
1	tt4461422:5.9	tt5702782:6.0	tt5820158:6.4	tt6033644:6.3	tt6679248:7.2	tt6712652:5.9	tt6742818:6.9	
2	tt7230838:6.8	tt7230870:6.3	tt7230884:6.4	tt8266764:7.3	tt8779726:5.2	tt8785840:6.5	tt9841674:5.5	
