2	tt0136368:-	tt0400662:-	tt1789372:-	tt1789375:-	tt1789377:-	tt1789381:-	tt1789395:-	tt1789398:-	
1	tt0354767:9.4	tt1486595:-	tt1789382:-	tt1789385:-	tt1789387:-	tt1789391:-	tt1789397:-	
4	tt1430105:-	tt1789376:-	tt1789383:-	tt1789384:-	tt1789389:-	tt1789396:-	
3	tt1789373:-	tt1789374:-	tt1789379:-	tt1789380:-	tt1789393:-	tt1789394:-	
