1	tt0966525:-	tt1012044:-	tt1012045:-	tt1044801:-	tt1047329:-	tt1082542:-	tt1082543:-	tt1082544:-	tt1082545:-	
2	tt1152998:-	tt1152999:-	tt1153000:-	tt1153001:-	tt1153002:-	tt1153003:-	tt1153004:-	tt1153005:-	tt1153006:-	tt1153007:-	
3	tt1594827:-	tt1596521:-	tt1596522:-	tt1597254:-	tt1631635:-	tt1631636:-	tt1631637:-	tt1631638:-	tt1638182:-	tt1638183:-	
