1	tt7762230:-	tt7762332:-	tt7762406:-	tt7772030:-	tt7772058:-	tt7772072:-	tt7772082:-	tt7772096:-	tt7772768:-	tt7772774:-	tt7772780:-	tt7772784:-	tt7772792:-	tt7772808:-	tt7772824:-	tt7772836:-	tt7772854:-	tt7772880:-	
2	tt7772932:-	tt7772948:-	tt7778972:-	tt7779016:-	tt7779024:-	tt7779030:-	tt7779036:-	tt7779046:-	tt7779060:-	tt7779304:-	tt7782224:-	tt7782230:-	
3	tt7782238:-	tt7782250:-	tt7782262:-	tt7782272:-	tt7782278:-	tt7782290:-	tt7782294:-	tt7782298:-	
4	tt7782306:-	tt7782308:-	tt7782312:-	tt7782324:-	tt7782328:-	tt7782330:-	tt7782338:-	tt7782340:-	tt7782346:-	
5	tt7782378:-	tt7782410:-	tt7794216:-	tt7794222:-	tt7794234:-	tt7794236:-	tt7794240:-	tt7794244:-	tt7794252:-	
6	tt7794326:-	tt7794330:-	tt7794332:-	tt7794336:-	tt7794340:-	tt7794344:-	tt7794352:-	tt7794360:-	tt7794368:-	
7	tt7794416:-	tt7794426:-	tt7794430:-	tt7794444:-	tt7794456:-	tt7794466:-	tt7794476:-	tt7794490:-	tt7794514:-	
8	tt7799142:-	tt7799146:-	tt7799148:-	tt7799154:-	tt7799156:-	tt7799162:-	tt7799168:-	tt7799176:-	tt7799182:-	
9	tt7799204:-	tt7799210:-	tt7799226:-	tt7799244:-	tt7799250:-	tt7799270:-	tt7799276:-	tt7799282:-	tt7799290:-	tt7799296:-	
10	tt7799302:-	tt7799314:-	tt7803246:-	tt7803254:-	tt7803264:-	tt7803278:-	tt7803294:-	tt7803308:-	tt7803316:-	tt7803320:-	
