2	tt3792840:8.1	tt3795956:7.9	tt3798232:7.7	tt3813488:8.0	tt3830010:8.1	tt3832238:8.1	tt3858024:7.7	tt3875422:8.1	tt3900534:8.2	tt4351944:8.3	
1	tt4351850:8.1	tt4351952:8.2	tt4351962:8.1	tt4351978:8.3	tt4351986:8.3	
3	tt4563612:8.1	tt4566504:8.5	tt4566566:7.9	tt4566594:7.8	tt4566618:8.2	tt4566642:7.7	
4	tt8019112:8.4	tt8024532:8.5	tt8031640:8.6	tt8036264:8.1	tt8039308:8.6	tt8056236:8.3	
