3	tt0637570:-	tt0637573:-	tt0637576:-	tt0637577:-	tt0637579:8.0	tt0637580:-	tt0637581:-	tt1051289:-	tt1304186:-	tt1304187:-	tt1304188:-	tt2193767:-	
2	tt0637571:7.6	tt0637578:8.4	tt2192443:-	tt2193745:-	tt2193747:-	tt2193749:-	tt2193751:-	tt2193753:-	tt2193755:-	tt2193757:-	tt2193759:-	tt2193761:-	tt2193765:-	
5	tt0637572:-	tt2245873:-	tt2245875:-	tt2245877:-	tt2245879:-	tt2245881:-	tt2245883:-	tt2245885:-	tt2245887:-	tt2245889:-	tt2245891:-	tt2245893:-	tt2245895:-	
4	tt0637574:-	tt0637575:-	tt1883879:-	tt2193763:-	tt2227881:-	tt2227883:-	tt2227885:-	tt2227887:-	tt2227889:-	tt2227891:-	tt2227893:-	tt2227895:-	tt2227897:-	
1	tt2186005:-	tt2186007:-	tt2186009:-	tt2186011:-	tt2186013:-	tt2186015:-	tt2186017:-	tt2186019:-	tt2186021:-	tt2186023:-	tt2186025:-	tt2189443:-	tt2191075:-	
