1	tt0067529:7.4	tt0645116:7.8	tt0645120:7.9	tt0645127:7.2	tt0645134:7.4	tt0645136:7.2	tt0645148:7.5	tt0645149:7.5	
5	tt0394778:7.9	tt0645131:7.6	tt0645140:7.3	tt0645141:7.3	tt0645143:7.7	tt0645145:7.6	tt0645146:7.3	
4	tt0394779:7.5	tt0645122:7.4	tt0645129:7.8	tt0645132:7.4	tt0645137:7.6	tt0645151:7.4	
6	tt0394780:7.3	tt0394781:7.3	tt0645119:7.1	tt0645123:7.4	tt0645126:7.7	tt0645133:6.9	
2	tt0645121:7.7	tt0645124:8.1	tt0645138:7.9	tt0645144:7.3	tt0645150:7.1	tt0645153:7.6	tt0645154:7.5	
3	tt0645125:6.8	tt0645128:7.5	tt0645130:7.6	tt0645142:7.2	tt0645147:7.0	tt0645152:7.6	
