1	tt12597958:-	tt12597970:-	tt12597978:-	tt12597982:-	
\N	tt12597986:-	tt12675838:-	tt12675846:-	tt12675848:-	tt12675850:-	tt12675950:-	tt12675954:-	tt12675958:-	
2	tt12597988:-	tt12597992:-	tt12597998:-	tt12598002:-	tt12598010:-	tt12598014:-	tt12598018:-	
3	tt12598022:-	tt12598030:-	tt12598036:-	tt12598044:-	tt12598060:-	tt12598070:-	tt12598082:-	
4	tt12598110:-	tt12598116:-	tt12598152:-	tt12598176:-	tt12598206:-	
