1	tt10939254:-	tt10939256:-	tt10939262:-	tt10939268:-	tt10939272:-	tt10939274:-	tt10939276:-	tt10939278:-	
2	tt10940422:-	tt10940430:-	tt10940432:-	tt10940434:-	tt10940438:-	tt10940440:-	
3	tt10940554:-	tt10940558:-	tt10940562:-	tt10940564:-	tt10940566:-	tt10940568:-	tt10940570:-	tt10940572:-	
4	tt10940628:-	tt10940630:-	tt10940632:-	tt10940634:-	tt10940636:-	tt10940638:-	tt10940640:-	tt1784312:-	
5	tt10940894:-	tt10940896:-	tt10940898:-	tt10940902:-	tt10940904:-	tt10940906:-	tt10940908:-	tt10940910:-	
6	tt10941532:-	tt10941534:-	tt10941536:-	tt10941540:-	tt10941542:-	tt10941546:-	tt10941548:-	tt10941552:-	
7	tt10946454:-	tt10946456:-	tt10946460:-	tt10946462:-	tt10946464:-	tt10946466:-	tt10946468:-	tt10946470:-	
8	tt10946606:-	tt10946608:-	tt10946614:-	tt10946616:-	tt10946622:-	tt10946628:-	
9	tt11018122:-	tt11018124:-	tt11018128:-	tt11173192:-	tt11173194:-	tt11173196:-	
10	tt13256018:-	tt13283592:-	tt13311570:-	tt13353072:-	tt13405714:-	tt13461676:-	
