1	tt12895678:-	tt12896664:-	tt12896666:-	tt12896668:-	tt12896730:-	tt12896732:-	tt12896742:-	tt12896750:-	tt12896762:-	tt12896770:-	tt12896782:-	tt12896794:-	tt12896804:-	tt12896824:-	tt12896958:-	
2	tt12897534:-	tt12897538:-	tt12897546:-	tt12897552:-	tt12897558:-	tt12897580:-	tt12897584:-	tt12897596:-	tt12897604:-	tt12897606:-	tt12897620:-	tt12897628:-	tt12897630:-	tt12897646:-	
3	tt12897660:-	tt12897672:-	tt12897680:-	tt12897690:-	tt12897698:-	tt12897708:-	tt12897718:-	tt12897728:-	tt12897732:-	tt12897794:-	tt12897798:-	tt12897810:-	tt12897816:-	tt12897830:-	
