1	tt0108214:7.6	tt0708494:6.9	tt0708501:7.0	tt0708504:6.7	tt0708513:7.7	tt0708523:7.2	tt0708528:7.1	tt0708529:9.1	tt0708551:6.5	tt0708556:7.8	tt0708569:6.0	tt0708576:7.1	tt0708584:6.9	tt0708586:6.9	tt0708624:7.0	tt0708632:7.2	tt0708633:6.4	tt0708643:6.1	tt0708659:7.1	
4	tt0394906:9.1	tt0708497:7.2	tt0708503:7.5	tt0708508:7.6	tt0708509:8.3	tt0708521:7.3	tt0708543:7.9	tt0708545:8.4	tt0708547:7.8	tt0708549:8.4	tt0708558:7.8	tt0708565:8.6	tt0708573:8.0	tt0708575:8.4	tt0708588:7.1	tt0708590:7.9	tt0708594:7.4	tt0708602:7.3	tt0708605:7.8	tt0708631:5.7	tt0708634:7.7	tt0708641:7.4	tt0708644:7.1	tt0708645:9.2	tt0708653:8.2	
7	tt0394907:9.0	tt0708492:7.6	tt0708498:7.3	tt0708502:7.7	tt0708517:7.3	tt0708518:7.1	tt0708520:6.8	tt0708535:7.8	tt0708542:6.8	tt0708552:7.7	tt0708560:8.4	tt0708562:8.3	tt0708571:7.7	tt0708579:7.6	tt0708581:6.4	tt0708600:8.0	tt0708607:8.0	tt0708608:8.8	tt0708609:7.6	tt0708617:8.5	tt0708622:8.4	tt0708623:6.5	tt0708640:8.7	tt0708654:8.3	tt0708663:8.3	
5	tt0708493:7.7	tt0708495:6.7	tt0708499:8.4	tt0708506:7.6	tt0708510:7.3	tt0708511:9.0	tt0708512:9.1	tt0708516:8.1	tt0708527:7.9	tt0708532:7.9	tt0708541:6.8	tt0708544:8.0	tt0708554:8.9	tt0708555:7.9	tt0708563:5.6	tt0708566:7.7	tt0708587:7.3	tt0708603:7.8	tt0708614:7.6	tt0708615:7.4	tt0708616:7.9	tt0708620:7.1	tt0708638:8.1	tt0708649:7.5	tt0708651:7.3	tt0708655:9.4	
6	tt0708496:8.6	tt0708505:8.0	tt0708515:7.2	tt0708538:8.9	tt0708540:8.7	tt0708548:7.6	tt0708550:7.4	tt0708557:9.5	tt0708559:8.3	tt0708572:7.8	tt0708582:5.9	tt0708589:5.8	tt0708592:8.6	tt0708595:9.1	tt0708604:7.1	tt0708606:7.7	tt0708610:8.4	tt0708628:8.2	tt0708635:7.2	tt0708642:7.6	tt0708652:6.3	tt0708657:7.1	tt0708660:7.9	tt0708665:7.7	tt0708666:6.9	tt0708667:7.5	
2	tt0708500:7.5	tt0708507:8.0	tt0708514:7.6	tt0708522:8.0	tt0708561:6.9	tt0708567:6.5	tt0708570:8.2	tt0708574:6.7	tt0708580:6.5	tt0708583:7.3	tt0708591:6.6	tt0708593:7.5	tt0708596:6.5	tt0708597:6.3	tt0708599:7.4	tt0708613:6.8	tt0708618:7.7	tt0708619:7.1	tt0708625:7.7	tt0708627:8.5	tt0708629:7.9	tt0708630:7.9	tt0708639:7.9	tt0708648:8.3	tt0708656:7.6	tt0708664:8.3	
3	tt0708519:8.0	tt0708524:8.1	tt0708525:7.5	tt0708526:6.6	tt0708533:6.8	tt0708534:7.4	tt0708536:7.3	tt0708537:7.3	tt0708539:6.3	tt0708546:7.4	tt0708553:8.7	tt0708564:6.8	tt0708568:5.7	tt0708577:8.0	tt0708578:8.1	tt0708585:6.9	tt0708598:8.0	tt0708601:7.0	tt0708611:7.0	tt0708612:8.3	tt0708621:9.0	tt0708626:8.1	tt0708636:8.4	tt0708637:8.3	tt0708650:7.6	tt0708658:7.9	
