4	tt10337778:7.9	tt10337782:7.9	tt10337786:7.6	tt10337788:8.3	tt10453272:-	tt10547784:8.8	tt10680456:-	tt10703532:-	tt11028782:7.5	tt11028790:8.6	tt11028798:8.6	tt11046796:-	tt11046830:-	tt9382678:7.6	
1	tt5789204:8.1	tt5789208:7.7	tt5789214:8.0	tt5789216:8.0	tt5845746:8.4	tt5845750:8.6	tt5878604:9.5	tt5881470:8.1	tt5884078:8.1	tt5884080:8.2	tt5884086:8.4	tt5884088:8.2	tt5884092:8.5	
2	tt6487100:8.6	tt6920110:8.0	tt6949036:8.7	tt6951978:8.7	tt7058830:8.5	tt7064332:8.5	tt7065442:8.1	tt7065450:8.2	tt7065460:8.0	tt7065470:9.0	tt7065476:9.0	tt7065490:9.0	
3	tt7664192:8.3	tt7853310:8.6	tt8488908:8.2	tt8534442:7.5	tt8564998:7.8	tt8578788:9.2	tt8601200:7.8	tt8601206:7.7	tt8601210:8.4	tt8601212:8.3	tt8601216:8.3	tt8601222:8.1	
