3	tt0507633:7.1	tt0507635:7.5	tt0507641:7.9	tt1136014:7.6	tt1165688:8.0	
5	tt0507634:7.8	tt0507636:6.8	tt0507639:5.9	tt0507640:7.8	tt1146476:7.6	tt1148797:7.7	
4	tt0507637:6.6	tt1071977:7.6	tt1118718:7.8	tt1131044:7.6	tt1138516:7.5	
2	tt0507638:7.7	tt0934632:7.6	tt1049423:7.5	tt1118716:6.8	tt1165387:8.0	tt1165388:7.8	
1	tt1165689:7.8	tt1165776:8.0	tt1165777:8.2	tt1165778:7.0	tt1165779:7.9	tt1165780:7.2	
