1	tt1617698:-	tt1617699:-	tt1617700:-	tt1617701:-	tt1617702:-	tt1617703:-	tt1617704:-	tt1617705:-	tt1617706:-	tt1617707:-	tt1617708:-	tt1617709:-	tt1617710:-	tt1617711:-	tt1617712:-	tt1617713:-	tt1617714:-	tt1617715:-	tt1617716:-	tt1617717:-	tt1617718:-	tt1617719:-	tt1617720:-	tt1617721:-	tt1617722:-	tt1617723:-	tt1617724:-	tt1617725:-	tt1617726:-	tt1617727:-	tt1617728:-	tt1617729:-	tt1617730:-	tt1617731:-	tt1617732:-	tt1617733:-	tt1617734:-	tt1617735:-	tt1622694:-	tt3431104:-	
2	tt1622656:-	tt1622657:-	tt1622658:-	tt1622659:-	tt1622660:-	tt1622661:-	tt1622662:-	tt1622663:-	tt1622664:-	tt1622665:-	tt1622666:-	tt1622667:-	tt1622668:-	tt1622669:-	tt1622670:-	tt1622671:-	tt1622672:-	tt1622673:-	tt1622674:-	tt1622675:-	tt1622676:-	tt1622677:-	tt1622678:-	tt1622679:-	tt1622680:-	tt1622681:-	tt1622682:-	tt1622683:-	tt1622684:-	tt1622685:-	tt1622686:-	tt1622687:-	tt1622688:-	tt1622689:-	tt1622690:-	tt1622691:-	tt1622692:-	tt1622693:-	tt1622695:-	
3	tt2226979:-	tt2231827:-	tt2231829:-	tt2814946:-	tt2814954:-	tt2814966:-	tt2814972:-	tt2814978:-	tt2814990:-	tt2815028:-	tt2815034:-	tt2815048:-	tt2815064:-	tt2815068:-	tt2815080:-	tt2815084:-	tt2815092:-	tt2815096:-	tt2815098:-	tt2815110:-	tt2815114:-	tt2815124:-	tt2815134:-	tt2815136:-	tt2815148:-	tt2815222:-	tt2815244:-	tt2815262:-	tt2815276:-	tt2815290:-	tt2815310:-	tt2815318:-	tt2815324:-	tt2815338:-	tt2815352:-	tt2815356:-	tt2815370:-	tt2815372:-	tt2815374:-	
