1	tt10422384:-	tt10422392:-	tt10422396:-	tt10422412:-	tt10422416:-	tt10422420:-	tt10422426:-	tt10422808:-	tt14096570:-	tt14096572:-	tt14096574:-	tt14096576:-	tt14096580:-	tt14096582:-	tt14096584:-	tt14096586:-	tt14096590:-	tt14096592:-	tt14096594:-	tt14096596:-	tt14096598:-	tt14096600:-	tt14096602:-	tt14096606:-	tt14096608:-	tt14096612:-	tt14096616:-	tt14096618:-	tt14096622:-	tt14096626:-	tt14096628:-	tt14096632:-	tt14096634:-	tt14096636:-	tt14096638:-	tt14096640:-	tt14096644:-	
4	tt14096236:-	tt14096240:-	tt14096244:-	tt14096246:-	tt14096248:-	tt14096254:-	tt14096258:-	tt14096264:-	tt14096270:-	tt14096280:-	tt14096286:-	tt14096292:-	tt14096302:-	tt14096310:-	tt14096312:-	tt14096380:-	tt14096386:-	tt14096392:-	tt14096394:-	tt14096400:-	tt14096404:-	tt14096406:-	tt14096408:-	tt14096410:-	tt14096412:-	tt14096450:-	tt14096452:-	tt14096456:-	tt14096466:-	tt14096468:-	
5	tt14096472:-	tt14096476:-	tt14096478:-	tt14096484:-	tt14096486:-	tt14096488:-	tt14096490:-	tt14096492:-	tt14096494:-	tt14096496:-	tt14096500:-	tt14096502:-	tt14096508:-	tt14238432:-	tt14291942:-	
2	tt14097994:-	tt14097996:-	tt14098000:-	tt14098004:-	tt14098010:-	tt14098012:-	tt14098020:-	tt14098032:-	tt14098040:-	tt14098054:-	tt14098068:-	tt14098076:-	tt14098080:-	tt14098082:-	tt14098084:-	tt14098094:-	tt14098102:-	tt14098110:-	tt14098116:-	tt14098128:-	tt14098144:-	tt14098154:-	tt14098168:-	tt14098188:-	tt14098212:-	tt14098226:-	tt14098240:-	tt14098242:-	tt14098244:-	
3	tt14098258:-	tt14098266:-	tt14098270:-	tt14098276:-	tt14098280:-	tt14098296:-	tt14098308:-	tt14098320:-	tt14098336:-	tt14098342:-	tt14098354:-	tt14098364:-	tt14098374:-	tt14098386:-	tt14098396:-	tt14098400:-	tt14098402:-	tt14098406:-	tt14098414:-	tt14098428:-	tt14098436:-	tt14098448:-	tt14098458:-	tt14098472:-	tt14098482:-	tt14098494:-	tt14098506:-	tt14098520:-	tt14098534:-	
