9	tt0316924:9.1	tt0348464:-	tt0796376:8.0	tt1025015:-	
1	tt0316925:8.4	tt0348466:7.9	tt0348468:-	
5	tt0316926:-	tt0337510:7.2	tt0396277:-	tt1143926:-	
8	tt0316927:8.6	tt0335570:8.2	tt0337509:-	tt1150964:-	
6	tt0316928:8.9	tt0348465:-	tt0783616:-	tt1150963:-	
4	tt0324636:-	tt0332527:8.2	tt0480484:-	tt2032586:-	
12	tt0324637:-	tt0780658:-	tt0943991:-	
13	tt0324638:-	tt0337508:-	tt0348462:-	
15	tt0335569:-	tt1017467:-	
2	tt0346166:8.2	tt0348463:7.4	tt0348467:-	tt0348469:-	
11	tt0346167:7.8	tt0780659:7.8	tt1705979:-	tt2410886:-	
3	tt0348470:8.7	tt0439338:-	tt0480485:-	tt1143925:-	
7	tt0392928:-	tt0489880:-	tt2181904:-	tt2271414:-	
10	tt0451474:7.0	tt1153089:-	tt2032585:-	tt2201295:-	
14	tt0455878:-	tt0901015:-	tt6052778:-	
\N	tt7807408:-	tt8182920:-	
