7	tt11086116:-	tt11116286:-	tt11116332:-	tt11116522:-	tt11116564:-	tt11116566:-	tt11116570:-	tt11116576:-	tt11116580:-	tt11116878:-	tt11116886:-	tt11116888:-	tt11116890:-	tt11116892:-	tt11116896:-	tt11116898:-	tt11116900:-	tt11116904:-	tt11116906:-	tt11121186:-	tt11121188:-	tt11121190:-	tt11121192:-	tt11121194:-	tt11121196:-	tt11121198:-	tt11121200:-	tt11121202:-	tt11121206:-	tt11121420:-	tt11121422:-	tt11121424:-	tt11121426:-	tt11121428:-	tt11121430:-	tt11121432:-	tt11121436:-	tt11121438:-	tt11121440:-	tt11121678:-	tt11121680:-	tt11121682:-	tt11121684:-	tt11121686:-	tt11121790:-	tt11121792:-	tt11121794:-	tt11121796:-	tt11121798:-	tt11121816:-	tt11121818:-	tt11121820:-	tt11121824:-	tt11121826:-	tt11121828:-	tt11121830:-	tt11121832:-	tt11121834:-	tt11121838:-	tt11121840:-	tt11121844:-	tt11121846:-	tt11121848:-	tt11121850:-	tt11121998:-	tt11122000:-	tt11122002:-	tt11122008:-	tt11122010:-	tt11122012:-	tt11122014:-	tt11122016:-	tt11122018:-	tt11122020:-	tt11122022:-	tt11122024:-	tt11122026:-	tt11122028:-	tt11122030:-	tt11122034:-	tt11122036:-	tt11122038:-	tt11122040:-	tt11122042:-	tt11122044:-	tt11122046:-	tt11122048:-	tt11122050:-	tt11122052:-	tt7019788:-	
9	tt11112228:-	tt11127562:-	tt11127564:-	tt11127566:-	tt11127568:-	tt11127572:-	tt11127576:-	tt11127578:-	tt11127580:-	tt11127582:-	tt11127722:-	tt11127724:-	tt11127726:-	tt11127728:-	tt11127730:-	tt11127732:-	tt11127734:-	tt11127736:-	tt11127738:-	tt11127740:-	tt11127742:-	tt11127744:-	tt11127746:-	tt11127748:-	tt11127750:-	tt11127752:-	tt11127754:-	tt11127756:-	tt11127758:-	tt11127760:-	tt11127762:-	tt11127764:-	tt11127766:-	tt11127770:-	tt11127772:-	tt11127774:-	tt11127776:-	tt11127778:-	tt11127780:-	tt11127784:-	tt11127786:-	tt11127788:-	tt11127790:-	tt11127792:-	tt11127794:-	tt11127812:-	tt11127814:-	tt11127818:-	tt11127820:-	tt11127822:-	tt11127824:-	tt11127826:-	tt11127828:-	tt11127830:-	tt11127832:-	tt11127836:-	tt11127838:-	tt11127840:-	tt11127842:-	tt11127844:-	tt11127848:-	tt11127850:-	tt11127852:-	tt11127854:-	tt11127856:-	tt11127864:-	tt11127866:-	tt11127868:-	tt11127870:-	tt11127880:-	tt11127882:-	tt11127884:-	tt11127886:-	tt11127888:-	tt11127890:-	tt11127892:-	tt11127894:-	tt11127896:-	tt11127898:-	tt11127900:-	tt11127902:-	tt11127904:-	tt11127906:-	tt11127908:-	tt11127910:-	tt11127912:-	tt11127914:-	tt11127916:-	tt11127918:-	tt11127922:-	
8	tt11138548:-	tt11138550:-	tt11138554:-	tt11138556:-	tt11138558:-	tt11138560:-	tt11138562:-	tt11138564:-	tt11138566:-	tt11138568:-	tt11138570:-	tt11138572:-	tt11138574:-	tt11138576:-	tt11138578:-	tt11138582:-	tt11138586:-	tt11138588:-	tt11138590:-	tt11138592:-	tt11138594:-	tt11138596:-	tt11138598:-	tt11138600:-	tt11138602:-	tt11138604:-	tt11138606:-	tt11138610:-	tt11138612:-	tt11138630:-	tt11138632:-	tt11138634:-	tt11138638:-	tt11138640:-	tt11138642:-	tt11138644:-	tt11138646:-	tt11138648:-	tt11138650:-	tt11138656:-	tt11138658:-	tt11138660:-	tt11138662:-	tt11138664:-	tt11138666:-	tt11138668:-	tt11138670:-	tt11138672:-	tt11138674:-	tt11138676:-	tt11138678:-	tt11138680:-	tt11138682:-	tt11138684:-	tt11138686:-	tt11138688:-	tt11138690:-	tt11138692:-	tt11138694:-	tt11138696:-	tt11138698:-	tt11138702:-	tt11138706:-	tt11138708:-	tt11138710:-	tt11138712:-	tt11138714:-	tt11138716:-	tt11138720:-	tt11138722:-	tt11138724:-	tt11138726:-	tt11138728:-	tt11138730:-	tt11138732:-	tt11138734:-	tt11138736:-	tt11138738:-	tt11138740:-	tt11138742:-	tt11138744:-	tt11138746:-	tt11138748:-	tt11138750:-	tt11138752:-	tt11138754:-	tt11138756:-	tt11138758:-	tt11138760:-	tt11138932:-	
10	tt12689888:-	tt12689890:-	tt12689892:-	tt12689894:-	tt12689896:-	tt12689898:-	tt12689900:-	tt12689902:-	tt12689904:-	tt12689906:-	tt12689908:-	tt12689910:-	tt12689912:-	tt12689914:-	tt12689916:-	tt12689918:-	tt12689920:-	tt12689922:-	tt12689924:-	tt12689926:-	tt12689930:-	tt12689932:-	tt12689934:-	tt12689936:-	tt12689938:-	tt12689940:-	tt12689942:-	tt12689944:-	tt12689946:-	tt12689948:-	tt12689950:-	tt12689952:-	tt12689954:-	tt12689956:-	tt12689958:-	tt12689960:-	tt12689964:-	tt12689966:-	tt12689968:-	tt12689970:-	tt12689972:-	tt12689974:-	tt12689976:-	tt12689978:-	tt12689980:-	tt12689982:-	tt12689984:-	tt12689986:-	tt12689988:-	tt12689992:-	tt12690048:-	tt12690052:-	tt12690056:-	tt12690058:-	tt12690060:-	tt12690062:-	tt12690064:-	tt12690066:-	tt12690068:-	tt12690070:-	tt12690072:-	tt12690074:-	tt12690076:-	tt12690078:-	tt12690080:-	tt12690082:-	tt12690084:-	tt12690086:-	tt12690088:-	tt12690090:-	tt12690092:-	tt12690094:-	tt12690096:-	tt12690100:-	tt12690102:-	tt12690106:-	tt12690108:-	tt12690110:-	tt12690112:-	tt12690114:-	tt12690116:-	tt12690120:-	tt12690122:-	tt12690124:-	tt12690126:-	tt12690128:-	tt12690130:-	tt12690132:-	tt12690134:-	tt12690136:-	
1	tt2184434:-	tt2184436:-	tt2184438:-	tt2184444:-	tt2184446:-	tt2184448:-	tt2184450:-	tt2184456:-	tt2184460:-	tt2184462:-	tt2184466:-	tt2184468:-	tt2184470:-	tt2184472:-	tt2184476:-	tt2184478:-	tt2184480:-	tt2184482:-	tt2184484:-	tt2184488:-	tt2184490:-	tt2184508:-	tt2184522:-	tt2184526:-	tt2184528:-	tt2184530:-	tt2184534:-	tt2184536:-	tt2184540:-	tt2184542:-	tt2184544:-	tt2184546:-	tt2184548:-	tt2184550:-	tt2184556:-	tt2184560:-	tt2184566:-	tt2184570:-	tt2184572:-	tt2184574:-	tt2184576:-	tt2184578:-	tt2184580:-	tt2184582:-	tt2184584:-	tt2184586:-	tt2184592:-	tt2184596:-	tt2184600:-	tt2184602:-	tt2184604:-	tt2184606:-	tt2184608:-	tt2184610:-	tt2184612:-	tt2184620:-	tt2184622:-	tt2184624:-	tt2184626:-	tt2184630:-	tt2184632:-	tt2184636:-	tt2184638:-	tt2184640:-	tt2184646:-	
2	tt2186794:-	tt2186906:-	tt2186912:-	tt2186920:-	tt2186948:-	tt2186950:-	tt2186954:-	tt2186956:-	tt2186960:-	tt2186962:-	tt2186990:-	tt2187004:-	tt2187008:-	tt2187012:-	tt2187024:-	tt2194038:-	tt2194044:-	tt2194068:-	tt2194078:-	tt2194088:-	tt2194098:-	tt2194106:-	tt2194112:-	tt2194118:-	tt2194122:-	tt2194134:-	tt2194142:-	tt2194146:-	tt2195070:-	tt2195074:-	tt2195078:-	tt2195086:-	tt2195090:-	tt2195092:-	tt2195094:-	tt2203616:-	tt2203626:-	tt2203630:-	tt2203638:-	tt2203644:-	tt2219238:-	tt2219240:-	tt2226698:-	tt2226716:-	tt2226726:-	tt2238044:-	tt2238052:-	tt2238054:-	tt2238056:-	tt2238058:-	tt2254668:-	tt2254670:-	tt2254672:-	tt2254674:-	tt2254676:-	tt2267996:-	tt2268008:-	tt2268014:-	tt2268020:-	tt2268024:-	tt2287188:-	tt2287190:-	tt2287192:-	tt2287194:-	tt2287196:-	tt5953124:-	tt5953210:-	tt5953212:-	tt5953218:-	tt5953220:-	tt5953224:-	tt5953226:-	tt5953228:-	tt5953230:-	tt5953232:-	tt5953234:-	tt5953240:-	tt5953242:-	tt5953244:-	tt5953250:-	tt5953252:-	tt5953254:-	tt5953256:-	tt5953258:-	tt5953264:-	tt5953268:-	tt5953270:-	tt5953274:-	tt5953276:-	tt5953280:-	
6	tt5969508:-	tt5971572:-	tt5971576:-	tt5971584:-	tt5971588:-	tt5971592:-	tt5971594:-	tt5971600:-	tt5971602:-	tt5971604:-	tt5971766:-	tt5971768:-	tt5971790:-	tt5971794:-	tt5971798:-	tt5971802:-	tt5971810:-	tt5971812:-	tt5971820:-	tt5971824:-	tt5971836:-	tt5971844:-	tt5971850:-	tt5971864:-	tt5971878:-	tt5971886:-	tt5971894:-	tt5971896:-	tt5971898:-	tt5971900:-	tt5971906:-	tt5971908:-	tt5971910:-	tt5971914:-	tt5971916:-	tt5971922:-	tt5971926:-	tt5971928:-	tt5971930:-	tt5971934:-	tt5971936:-	tt5971942:-	tt5971946:-	tt5971954:-	tt5971960:-	tt5971964:-	tt5971970:-	tt5971972:-	tt5971976:-	tt5971978:-	tt5972016:-	tt5972020:-	tt5972022:-	tt5972024:-	tt5972026:-	tt5972030:-	tt5972036:-	tt5972042:-	tt5972046:-	tt5972050:-	tt5972056:-	tt5972066:-	tt5972078:-	tt5972080:-	tt5972084:-	tt5972088:-	tt5972090:-	tt5972092:-	tt5972094:-	tt5972096:-	tt5972100:-	tt5972102:-	tt5972104:-	tt5972106:-	tt5972110:-	tt5972112:-	tt5972114:-	tt5972116:-	tt5972118:-	tt5972122:-	tt5972124:-	tt5972130:-	tt5972132:-	tt5972134:-	tt5972136:-	tt5972138:-	tt5972144:-	tt5972146:-	tt5972150:-	tt5972152:-	
5	tt5974306:-	tt5974312:-	tt5974316:-	tt5974320:-	tt5974322:-	tt5974378:-	tt5974380:-	tt5974390:-	tt5974394:-	tt5974398:-	tt5974400:-	tt5974408:-	tt5974412:-	tt5974416:-	tt5974418:-	tt5974456:-	tt5974524:-	tt5974526:-	tt5974530:-	tt5974538:-	tt5974548:-	tt5974556:-	tt5974560:-	tt5974568:-	tt5974574:-	tt5974582:-	tt5974590:-	tt5974600:-	tt5974602:-	tt5974608:-	tt5974622:-	tt5974632:-	tt5974642:-	tt5974660:-	tt5974666:-	tt5974676:-	tt5974680:-	tt5974690:-	tt5974702:-	tt5974712:-	tt5974714:-	tt5974722:-	tt5974734:-	tt5974740:-	tt5974742:-	tt5974744:-	tt5974746:-	tt5974750:-	tt5974758:-	tt5974772:-	tt5974782:-	tt5974784:-	tt5974790:-	tt5974792:-	tt5974796:-	tt5974798:-	tt5974800:-	tt5974802:-	tt5974806:-	tt5974808:-	tt5974810:-	tt5974814:-	tt5974816:-	tt5974818:-	tt5974822:-	tt5974824:-	tt5974828:-	tt5974832:-	tt5974834:-	tt5974840:-	tt5974854:-	tt5974860:-	tt5974862:-	tt5974866:-	tt5974868:-	tt5974872:-	tt5974876:-	tt5974880:-	tt5974882:-	tt5974884:-	tt5974892:-	tt5974894:-	tt5974898:-	tt5974904:-	tt5974906:-	tt5974910:-	tt5974914:-	tt5974916:-	tt5974920:-	tt5974924:-	
4	tt5975112:-	tt5975114:-	tt5975118:-	tt5975120:-	tt5975122:-	tt5975124:-	tt5975126:-	tt5975130:-	tt5975132:-	tt5975136:-	tt5975140:-	tt5975142:-	tt5975144:-	tt5975146:-	tt5975148:-	tt5975166:-	tt5975168:-	tt5975170:-	tt5975172:-	tt5975174:-	tt5975176:-	tt5975180:-	tt5975182:-	tt5975184:-	tt5975186:-	tt5975188:-	tt5975192:-	tt5975198:-	tt5975200:-	tt5975202:-	tt5979174:-	tt5979176:-	tt5979180:-	tt5979184:-	tt5979186:-	tt5979188:-	tt5979192:-	tt5979194:-	tt5979196:-	tt5979200:-	tt5979298:-	tt5979300:-	tt5979302:-	tt5979304:-	tt5979372:-	tt5979374:-	tt5979390:-	tt5979392:-	tt5979396:-	tt5979400:-	tt5979412:-	tt5979414:-	tt5979418:-	tt5979422:-	tt5979448:-	tt5979450:-	tt5979456:-	tt5979458:-	tt5979460:-	tt5979464:-	tt5979468:-	tt5979476:-	tt5979492:-	tt5979498:-	tt5979502:-	tt5979512:-	tt5979518:-	tt5979524:-	tt5979530:-	tt5979536:-	tt5979542:-	tt5979544:-	tt5979548:-	tt5979552:-	tt5979554:-	tt5979566:-	tt5979570:-	tt5979576:-	tt5979578:-	tt5979580:-	tt5979582:-	tt5979586:-	tt5979588:-	tt5979590:-	tt5979592:-	tt5979594:-	tt5979600:-	tt5979604:-	tt5979606:-	tt5979608:-	
3	tt5979846:-	tt5979850:-	tt5979854:-	tt5979856:-	tt5979858:-	tt5979862:-	tt5979866:-	tt5979868:-	tt5979870:-	tt5979876:-	tt5979878:-	tt5979880:-	tt5979882:-	tt5979884:-	tt5979886:-	tt5979890:-	tt5979892:-	tt5979894:-	tt5979898:-	tt5979900:-	tt5979902:-	tt5979904:-	tt5979906:-	tt5979908:-	tt5979910:-	tt5979912:-	tt5979914:-	tt5979916:-	tt5979918:-	tt5979922:-	tt5979924:-	tt5979926:-	tt5979928:-	tt5979930:-	tt5979932:-	tt5979934:-	tt5979936:-	tt5979938:-	tt5979940:-	tt5979942:-	tt5979944:-	tt5979946:-	tt5979948:-	tt5979950:-	tt5979952:-	tt5987186:-	tt5987188:-	tt5987192:-	tt5987194:-	tt5987198:-	tt5987206:-	tt5987214:-	tt5987216:-	tt5987218:-	tt5987228:-	tt5987230:-	tt5987232:-	tt5987234:-	tt5987236:-	tt5987238:-	tt5987240:-	tt5987242:-	tt5987244:-	tt5987250:-	tt5987252:-	tt5987258:-	tt5987260:-	tt5987264:-	tt5987268:-	tt5987280:-	tt5987284:-	tt5987286:-	tt5987288:-	tt5987290:-	tt5987298:-	tt5987302:-	tt5987304:-	tt5987310:-	tt5987314:-	tt5987316:-	tt5987318:-	tt5987320:-	tt5987324:-	tt5987326:-	tt5987328:-	tt5987360:-	tt5987364:-	tt5987368:-	tt5987370:-	tt5987372:-	
