4	tt0578350:7.6	tt0578352:6.9	tt0803284:5.9	tt0803285:6.4	tt0803289:6.6	tt0803292:7.4	tt0803294:6.1	
3	tt0578351:7.1	tt0578360:6.9	tt0578361:6.4	tt0578362:6.9	tt0578365:6.8	tt0578367:7.4	
2	tt0578353:6.3	tt0578355:7.3	tt0578364:7.3	tt0578366:6.8	tt0578369:7.1	tt0578370:7.6	
6	tt0578354:6.1	tt0578368:6.1	tt0822135:6.4	tt0822136:6.9	tt0822138:6.5	tt0822139:6.4	tt0823006:7.1	
7	tt0578356:4.9	tt0578358:5.3	tt0578363:5.8	tt0822137:5.1	tt0823007:6.2	tt0823008:6.2	
1	tt0578357:6.8	tt0578359:6.6	tt0803287:6.8	tt0803288:7.3	tt0803291:6.9	tt0803293:5.9	tt0823009:6.5	
5	tt0803281:6.9	tt0803282:6.4	tt0803283:6.7	tt0803286:6.4	tt0803290:6.3	tt0803572:6.0	
