14	tt12356856:-	tt12356864:-	tt12356866:-	tt12356868:-	tt12356872:-	tt12356884:-	tt12356888:-	tt12356892:-	tt12356896:-	tt12356900:-	tt12356904:-	tt12356912:-	tt12356920:-	
13	tt12367220:-	tt12367226:-	tt12367240:-	tt12367252:-	tt12367272:-	tt12367292:-	tt12367318:-	tt8463180:-	tt8976010:-	tt8976014:-	tt8976022:-	tt8987274:-	tt9168242:-	
1	tt1264291:-	tt1264292:-	tt1264293:-	tt1264294:-	tt1264295:-	tt1264296:-	tt1264297:-	tt1264298:-	
2	tt1264299:-	tt1264300:-	tt1264301:-	tt1264302:-	tt1264303:-	tt1264304:-	tt1264305:-	tt1264306:-	
3	tt1264307:-	tt1264308:-	tt1264309:-	tt1264310:-	tt1264311:-	tt1264312:-	tt1264313:-	tt1264928:-	
15	tt13538922:-	tt13586400:-	tt13616406:-	tt13658472:-	tt13699460:-	
4	tt1539652:-	tt1551696:-	tt1552509:-	tt1699538:-	tt1699539:-	tt1699540:-	tt1699541:-	tt1699542:-	
5	tt1743772:-	tt1743773:-	tt1746865:-	tt1749180:-	tt1749181:-	tt1749182:-	tt1749183:-	tt1755127:-	
\N	tt1769609:-	tt2079749:-	tt2086151:-	tt2097449:-	tt2121459:-	tt2374036:-	tt2442160:-	tt3148652:-	tt3213800:-	tt3259640:-	tt3341248:-	tt3351592:-	tt3368986:-	tt3386666:-	tt3426664:-	tt3440662:-	tt3477858:-	tt3858292:-	tt3917342:-	tt3952382:-	tt5266516:-	tt5266518:-	tt5277630:-	tt5277632:-	tt5277634:-	tt5277636:-	tt5983872:-	tt6050390:-	tt6050392:-	tt6091600:-	tt6112762:-	
6	tt2041766:-	tt2041767:-	tt2092092:-	tt2099868:-	tt2103430:-	tt2109309:-	tt2118139:-	tt2125786:-	
7	tt2229606:-	tt2361468:-	tt2370710:-	tt2370712:-	tt2398938:-	tt2412468:-	tt2427642:-	tt2440412:-	tt2440416:-	tt2472262:-	tt2485682:-	tt2498120:-	
8	tt3164412:-	tt3177984:-	tt3188292:-	tt3199070:-	tt3211898:-	tt3232956:-	tt3280354:-	tt3301656:-	
9	tt3985674:-	tt4009082:-	tt4025318:-	tt4035708:-	
10	tt4885856:-	tt4915420:-	tt4934712:-	tt4944804:-	tt4969186:-	tt4979952:-	tt5002672:-	tt5022222:-	
12	tt7298270:-	tt7298272:-	tt7298276:-	tt7298278:-	tt7298282:-	tt7298284:-	tt7298286:-	tt7298288:-	tt7435536:-	tt7435552:-	tt7435556:-	tt7435560:-	tt7435564:-	
