3	tt0285216:7.3	tt0288061:7.8	tt0292557:9.0	tt0294644:7.7	tt0332146:8.4	
1	tt0288062:8.5	tt0297965:8.2	tt0337645:8.8	tt0338124:8.5	
2	tt0289807:8.8	tt0297186:8.5	tt0305670:8.8	tt0314202:8.6	
4	tt0301447:7.6	tt0316018:7.9	tt0317704:8.4	
