3	tt0759241:-	tt1197136:-	tt1197137:-	
9	tt0759242:-	tt1197147:-	tt1197148:-	tt1197597:-	
1	tt0917837:-	tt1197133:-	tt1206801:-	tt1206802:-	tt1206803:-	tt1206804:-	tt1206805:-	tt1206806:-	tt1206807:-	tt1206808:-	tt1206809:-	tt1206810:-	tt1206811:-	
\N	tt11185460:-	tt2905134:-	tt2908290:-	tt2908294:-	tt3004960:-	tt3005004:-	
2	tt1197134:-	tt1197135:-	tt1197150:-	tt4288130:-	
4	tt1197138:-	tt1197139:-	tt1492129:-	
5	tt1197140:-	tt1197141:-	
6	tt1197142:-	tt1197143:-	
7	tt1197144:-	tt1197145:-	
8	tt1197146:-	tt1197149:-	
