1	tt7814380:9.3	tt7814464:9.0	tt7814476:9.0	tt7814492:9.4	tt7814494:-	
2	tt7814588:-	tt7814680:-	tt7816284:-	tt7816292:-	
3	tt7818476:-	tt7818486:-	tt7818492:-	tt7818502:-	
4	tt7822826:-	tt7822834:9.2	tt7822844:-	tt7822864:-	
