4	tt10700450:-	tt10700456:-	tt10700462:-	
3	tt10700540:-	tt10700550:-	tt8595866:-	tt8620114:-	
5	tt13641712:-	tt13641720:-	tt13641726:-	tt13641734:-	tt13641740:-	
1	tt6498242:7.0	tt6502294:-	tt6535238:-	tt6571180:7.6	tt6594676:-	tt6634750:7.6	
2	tt7640084:6.2	tt8099370:-	tt8099372:-	tt8168548:-	tt8168560:-	tt8198612:-	
