\N	tt10747080:-	tt10752646:-	tt10755826:-	tt10783816:-	tt11021158:-	tt11410438:-	tt9481162:-	tt9481184:-	tt9481204:-	tt9481230:-	tt9481242:-	tt9481250:-	tt9481912:-	
81	tt10749874:-	tt10749876:-	tt10749890:-	tt10749892:-	tt8656500:-	
333	tt10749908:-	tt10749918:-	tt10749926:-	tt10749936:-	tt10749940:-	
1	tt10750124:-	tt10750132:-	tt10750154:-	tt10750170:-	tt10750184:-	tt10750248:-	tt10752782:-	tt10752810:-	tt10752824:-	tt10752836:-	tt10752862:-	tt10758196:-	tt10758246:-	tt10758256:-	tt10758266:-	tt10758270:-	
338	tt10752658:-	tt10752672:-	tt10752684:-	tt10752698:-	tt10752710:-	
82	tt10752726:-	tt10752732:-	tt10752748:-	tt10752756:-	tt10752760:-	
83	tt10755500:-	tt10755510:-	tt10755526:-	tt10755538:-	tt10755546:-	
334	tt10755590:-	tt10755598:-	tt10755614:-	tt10755620:-	tt10755630:-	
84	tt10758298:-	tt10758318:-	tt10758332:-	tt10758338:-	tt10758340:-	
85	tt10761200:-	tt10761204:-	tt10761210:-	tt10761232:-	tt10761256:-	tt10761262:-	
86	tt10761268:-	tt10761276:-	tt10761280:-	tt10761290:-	tt10761304:-	
87	tt10761338:-	tt10761368:-	tt10761378:-	tt10761392:-	tt10761394:-	
88	tt10761430:-	tt10761436:-	tt10761482:-	tt10761498:-	tt10761518:-	
2	tt10763596:-	tt10763604:-	tt10763608:-	tt10763614:-	tt10763616:-	tt10776726:-	tt10776732:-	tt10776740:-	tt10776754:-	tt10776770:-	tt10783388:-	tt10783392:-	tt10783400:-	tt10783410:-	tt10783416:-	tt10783466:-	tt10783472:-	tt10783476:-	tt10783484:-	tt10783498:-	
335	tt10766532:-	tt10766562:-	tt10766574:-	tt10766590:-	tt10766600:-	
89	tt10776776:-	tt10776782:-	tt10776786:-	tt10776798:-	tt10776800:-	
337	tt10776818:-	tt10776820:-	tt10776828:-	tt10776836:-	tt10776844:-	
90	tt10782032:-	tt10782048:-	tt10782054:-	tt10782064:-	tt10782076:-	
332	tt10782108:-	tt10782122:-	tt10782130:-	tt10782132:-	tt10782146:-	
331	tt10783646:-	tt10783648:-	tt10783652:-	tt10783658:-	tt10783668:-	
91	tt10783750:-	tt10783756:-	tt10783766:-	tt10783770:-	tt10783778:-	
92	tt10783792:-	tt10783796:-	tt10783800:-	tt10783802:-	tt10783806:-	
3	tt10789828:-	tt10789842:-	tt10789862:-	tt10789886:-	tt10789896:-	tt10795446:-	tt10795454:-	tt10795474:-	tt10795482:-	tt10795488:-	tt10795506:-	tt10795510:-	tt10795512:-	tt10795524:-	tt10795530:-	tt10804258:-	tt10804274:-	tt10804282:-	tt10804290:-	tt10804322:-	tt10810510:-	tt10810802:-	tt10810808:-	tt10810812:-	tt10810818:-	
93	tt10789906:-	tt10789910:-	tt10789914:-	tt10789918:-	tt10789920:-	
329	tt10793326:-	tt10793332:-	tt10793342:-	tt10793362:-	tt10793384:-	
94	tt10793402:-	tt10793414:-	tt10793424:-	tt10793428:-	
95	tt10793432:-	tt10793442:-	tt10793460:-	tt10793476:-	tt10793480:-	
96	tt10793494:-	tt10793506:-	tt10793514:-	tt10793520:-	tt10793526:-	
97	tt10793532:-	tt10793540:-	tt10793550:-	tt10793564:-	tt10793574:-	
336	tt10804366:-	tt10804370:-	tt10804372:-	tt10804376:-	tt10804400:-	
98	tt10804452:-	tt10804460:-	tt10804466:-	tt10804472:-	tt10804476:-	
330	tt10805498:-	tt10805500:-	tt10805506:-	tt10805508:-	tt10805514:-	
26	tt10805520:-	
327	tt10810898:-	tt10810914:-	tt10810934:-	tt10810944:-	tt10810950:-	
326	tt10814942:-	tt10814948:-	tt10814960:-	tt10814964:-	tt10814968:-	
99	tt10814978:-	tt10814990:-	tt10814994:-	tt10814998:-	tt10815002:-	
100	tt10815014:-	tt10815028:-	tt10815038:-	tt10815052:-	tt10815064:-	
101	tt10815072:-	tt10815082:-	tt10815086:-	tt10815090:-	tt10815102:-	
102	tt10815108:-	tt10815120:-	tt10815126:-	tt10815134:-	
103	tt10816370:-	tt10816378:-	tt10816388:-	tt10816390:-	tt10816392:-	
77	tt10816446:-	tt10858416:-	tt10858428:-	tt10858438:-	tt10858456:-	
104	tt10819616:-	tt10819640:-	tt10819652:-	tt10819664:-	tt10819680:-	
105	tt10819698:-	tt10819708:-	tt10819726:-	tt10819736:-	tt10819752:-	
106	tt10819768:-	tt10819798:-	tt10819806:-	tt10819820:-	tt10819830:-	
112	tt10819838:-	tt10819844:-	tt10819852:-	tt10819866:-	tt10819880:-	
111	tt10819898:-	tt10819912:-	tt10819924:-	tt10819934:-	tt10819944:-	
116	tt10819972:-	tt10819980:-	tt10819988:-	tt10819996:-	tt10820010:-	
115	tt10820032:-	tt10820042:-	tt10820050:-	tt10820056:-	tt10820062:-	
113	tt10820076:-	tt10820080:-	tt10820086:-	tt10820090:-	tt10820096:-	
