1	tt0599596:-	tt0599597:-	tt0599598:8.0	tt0599599:7.4	tt0599600:-	tt0599601:-	tt0599602:-	tt0599603:-	tt0599605:-	tt0599608:-	tt0599610:-	tt0599611:-	tt0599612:-	tt0599613:-	tt0599614:-	tt0599615:-	tt0599616:-	tt0599617:-	tt0760724:-	tt0762652:-	tt0762653:-	tt0762655:-	tt0762662:-	tt0762668:-	tt0762669:-	tt1100734:-	tt1100735:-	tt1100736:-	tt1100737:-	tt1100738:7.4	tt1100739:-	
3	tt0599604:-	tt0599607:-	tt0599609:-	tt0599619:-	tt0599620:-	tt0760725:-	tt0760726:-	tt0760729:-	tt0760730:-	tt0760731:-	tt0760734:-	tt0760735:-	tt0760739:-	tt0760740:-	tt0760742:-	tt0760743:-	tt0760745:-	tt0760753:-	tt0762650:-	tt0762651:-	tt0762654:-	tt0762656:-	tt0762658:-	tt0762659:-	tt0762661:-	tt0762663:-	tt0762665:-	tt0762666:-	tt1100747:-	tt1100748:-	tt1100749:-	tt1100750:-	
2	tt0599606:-	tt0599618:-	tt0760723:-	tt0760727:-	tt0760728:7.6	tt0760732:-	tt0760733:-	tt0760736:-	tt0760737:-	tt0760738:-	tt0760741:-	tt0760744:-	tt0760746:-	tt0760747:-	tt0760748:-	tt0760749:-	tt0760750:-	tt0760751:-	tt0760752:-	tt0762649:-	tt0762657:-	tt0762660:-	tt0762664:-	tt0762667:-	tt1100740:-	tt1100741:-	tt1100742:-	tt1100743:-	tt1100744:-	tt1100745:-	tt1100746:-	tt2570704:-	
