1	tt1249607:7.2	tt1249608:7.2	tt1249609:7.0	tt1249610:7.1	tt1249611:7.3	tt1249612:7.4	tt1249613:7.9	tt1249614:7.1	
2	tt1466111:6.9	tt1466112:7.3	tt1466113:7.5	tt1466114:6.9	tt1466115:7.0	tt1481608:7.0	tt1481609:7.1	
3	tt1475468:7.0	tt1475469:7.5	tt1512593:8.2	tt1696945:7.0	tt1833328:7.2	tt1838972:7.4	tt1844288:7.8	
