6	tt0480761:-	tt0756675:-	tt1075660:7.4	tt1075665:-	tt1106568:-	tt1106582:-	
4	tt1075661:-	tt1075666:-	tt1075667:-	tt1106570:-	tt1106586:-	tt8449808:-	
3	tt1075662:-	tt1106567:-	tt1106569:-	tt1106579:-	tt1106584:-	tt1106588:-	
2	tt1075663:-	tt1075668:-	tt1104716:-	tt1104718:-	tt1104722:-	tt1104724:-	
5	tt1075664:-	tt1106574:-	tt1106575:-	tt1106577:-	tt1106581:-	tt1106583:-	
7	tt1075669:-	tt1075671:-	tt1106571:-	tt1106587:-	tt1106589:-	
1	tt1075670:-	tt1104717:-	tt1104719:-	tt1104720:-	tt1104721:-	tt1104723:-	
8	tt1106566:-	tt1106573:-	tt1106576:-	tt1106578:-	tt1106580:-	tt1106585:-	
9	tt1249856:-	tt1249857:-	tt1249858:-	tt1249859:-	
10	tt1453617:-	tt1453618:-	tt1454038:-	tt1454039:-	tt1481051:8.0	
11	tt1703877:-	tt1714796:-	tt1714797:-	tt1714798:-	tt1714799:8.4	tt1714800:-	
12	tt1889961:-	tt1889962:-	tt1889963:-	
