4	tt10255440:7.9	tt10485576:6.3	
\N	tt10255478:-	tt10255480:-	tt10255482:-	tt10255486:-	tt11626378:-	tt11833186:-	tt11851528:-	tt11853134:-	tt11859416:-	tt12031858:-	tt12071042:-	tt12503064:-	tt12510306:-	tt12630862:-	tt12721640:-	tt12785024:-	tt12868724:-	tt13279430:-	
5	tt12622836:7.7	
3	tt8448464:8.2	tt8666312:8.1	tt8889544:8.7	tt8889560:8.7	
1	tt8889516:-	tt8889524:-	tt8889530:-	
2	tt8889534:-	tt8889536:-	tt8889538:-	
