6	tt12435608:-	tt12435618:-	tt12436364:-	tt12436422:-	tt12436482:-	tt12436532:-	tt12436548:-	tt12436582:-	tt12436610:-	
7	tt12436656:-	tt12436716:-	tt12436752:-	tt12437184:-	tt12437220:-	tt12437264:-	tt12437296:-	tt12437328:-	tt12437380:-	tt12437418:-	tt12437460:-	tt12437506:-	tt12437542:-	tt12437584:-	tt12437652:-	tt12437692:-	tt12437734:-	tt12437742:-	tt12437790:-	tt12437804:-	tt12437832:-	tt12437886:-	tt12437924:-	tt12438052:-	tt12438086:-	tt12438110:-	tt12438158:-	tt12438180:-	tt12438336:-	tt12438360:-	tt12438368:-	tt12438374:-	tt12438380:-	tt12438386:-	
8	tt12438394:-	tt12438412:-	tt12438462:-	tt12438524:-	tt12438570:-	tt12438612:-	tt12439410:-	tt12439420:-	tt12439426:-	tt12439428:-	tt12439436:-	tt12439442:-	tt12439444:-	tt12439448:-	tt12439454:-	tt12439458:-	tt12439468:-	tt12439472:-	tt12439482:-	tt12439488:-	tt12439634:-	tt12439650:-	tt12439664:-	tt12439678:-	tt12439690:-	tt12439712:-	tt12439732:-	tt12439744:-	tt12439762:-	tt12439772:-	tt12439778:-	tt12439784:-	tt12439794:-	
9	tt12439802:-	tt12439806:-	tt12439814:-	tt12439824:-	tt12439830:-	tt12439836:-	tt12439840:-	tt12439842:-	tt12439844:-	tt12439848:-	tt12439854:-	tt12439858:-	
10	tt12439860:-	tt12439872:-	tt12439878:-	tt12439890:-	tt12439896:-	tt12439906:-	tt12439908:-	tt12439912:-	tt12439918:-	tt12439924:-	
11	tt12439966:-	tt12439972:-	tt12439974:-	
12	tt12439978:-	tt12439984:-	tt12439988:-	tt12439992:-	tt12439998:-	
13	tt12440008:-	tt12440012:-	tt12440016:-	tt12440020:-	
14	tt12440024:-	tt12440028:-	tt12440036:-	tt12440042:-	
15	tt12440048:-	tt12440050:-	tt12440060:-	tt12440062:-	
16	tt12440070:-	tt12440080:-	tt12440082:-	tt12440088:-	tt12440090:-	
17	tt12440094:-	tt12440100:-	tt12440104:-	tt12440114:-	tt12440122:-	
18	tt12440130:-	tt12440136:-	tt12440144:-	tt12440168:-	tt12440206:-	
19	tt12440238:-	tt12440240:-	tt12440244:-	tt12440246:-	
20	tt12440252:-	tt12516336:-	tt12609532:-	tt12609580:-	
