1	tt12100158:-	tt12100228:-	tt12100272:-	tt12100306:-	tt12100314:-	
2	tt12100342:-	tt12100346:-	tt12100354:-	tt12100362:-	tt12100366:-	
3	tt12100390:-	tt12100394:-	tt12100396:-	tt12100400:-	tt12100406:-	
4	tt12100436:-	tt12100446:-	tt12107644:-	tt12107838:-	tt12107856:-	
5	tt12100460:-	tt12100462:-	tt12100464:-	tt12100468:-	tt12100470:-	
6	tt12100664:-	tt12100676:-	tt12100684:-	tt12107862:-	tt12107868:-	
7	tt12100818:-	tt12100824:-	tt12100830:-	tt12100836:-	tt12100840:-	
8	tt12100844:-	tt12100848:-	tt12100860:-	tt12100862:-	tt12100864:-	
9	tt12101222:-	tt12101286:-	tt12101288:-	tt12101604:-	tt12107864:-	
10	tt12107866:-	tt12107870:-	tt12107872:-	tt12107874:-	tt12107876:-	
11	tt12107878:-	tt12107880:-	tt12107882:-	tt12107886:-	tt12107900:-	
12	tt12107892:-	tt12107894:-	tt12107896:-	tt12107898:-	tt12107914:-	
13	tt12107906:-	tt12107912:-	tt12107916:-	tt12107918:-	tt12107926:-	
