1	tt0755183:7.7	tt0755187:7.5	tt0755193:6.9	tt0755194:7.3	tt0755200:7.5	tt0755202:6.8	tt0755209:8.0	tt0755210:8.0	tt0755211:7.7	tt0755212:8.0	tt0755213:7.3	tt0755218:7.0	tt0755225:7.1	tt0755226:7.0	tt0773744:7.0	tt0792914:8.0	tt0792918:6.8	tt0792919:7.4	tt0792921:7.1	tt0792922:7.4	tt0792933:6.9	tt0792939:7.5	tt0792941:7.2	tt0793303:7.4	tt0793305:7.3	tt1849706:-	
3	tt0755184:7.5	tt0755185:6.9	tt0755186:7.6	tt0755188:7.3	tt0755199:7.4	tt0755203:6.8	tt0755214:6.7	tt0755216:7.3	tt0755222:6.9	tt0792916:7.4	tt0792917:7.9	tt0792920:6.9	tt0792923:7.7	tt0792925:6.9	tt0792927:7.4	tt0792929:7.1	tt0792930:7.2	tt0792932:7.6	tt0792938:6.9	tt0792940:6.6	tt0792942:7.0	tt0793302:8.0	tt0793304:7.6	tt0793308:7.7	tt0798715:8.1	
2	tt0755189:7.5	tt0755190:7.9	tt0755195:7.2	tt0755196:7.6	tt0755197:7.0	tt0755198:7.7	tt0755204:7.2	tt0755205:7.8	tt0755206:7.5	tt0755208:7.2	tt0755215:7.5	tt0755219:7.2	tt0755220:7.4	tt0755221:7.4	tt0755223:6.8	tt0792924:6.9	tt0792928:7.2	tt0792934:7.6	tt0792935:6.7	tt0792937:7.3	tt0793309:6.8	tt0793310:7.5	tt0795320:7.2	tt0798714:7.9	tt3426490:7.0	
4	tt0755191:7.4	tt0755192:7.1	tt0755201:6.9	tt0755207:7.3	tt0755217:7.4	tt0755224:7.5	tt0792913:8.1	tt0792915:7.9	tt0792926:7.3	tt0792931:7.2	tt0792936:8.0	tt0793306:7.4	tt0793307:6.9	
