1	tt0999363:7.4	tt0999364:-	tt0999365:6.2	tt0999366:-	tt0999367:-	tt0999368:6.9	tt0999369:8.1	tt0999372:-	tt0999373:-	tt0999374:-	
2	tt1199345:-	tt1203881:-	tt1203882:-	tt1203883:-	tt1203884:-	tt1203885:-	tt1207544:-	tt1207545:-	tt2357878:-	tt2357880:-	tt2357882:-	
3	tt2540022:-	tt2540028:-	tt2540030:-	tt2540046:-	tt2540048:-	tt2540052:-	tt2540060:-	tt2540064:-	tt2540066:-	tt2540070:-	tt2540074:-	
4	tt3181062:-	tt3181064:-	tt3181068:-	tt3181072:-	tt3181084:-	tt3181086:-	tt3181092:-	tt3181110:-	tt3181112:-	tt3181114:-	tt3181116:-	
