2	tt10694744:7.3	tt10755554:6.7	tt10792632:7.5	tt11426740:6.9	tt8868170:8.4	
3	tt12708944:6.7	tt12715496:6.4	tt12715502:-	tt13710186:7.8	
1	tt8703042:7.1	tt8703044:8.2	tt8703046:7.5	tt9424594:7.4	
