2	tt0778973:6.7	tt0778975:6.8	tt0778980:8.1	tt0778982:6.2	tt0778987:7.0	tt0778988:6.7	tt0778990:6.6	tt0778999:6.6	
4	tt0778974:7.4	tt0778977:7.3	tt0778978:6.8	tt0778981:7.5	tt0778989:6.2	tt0778992:6.8	tt0782886:6.7	
3	tt0778976:6.3	tt0778983:6.9	tt0778984:6.8	tt0778991:6.7	tt0778993:7.1	tt0778994:7.0	tt0778995:6.9	
1	tt0778979:6.3	tt0778985:6.5	tt0778986:6.4	tt0778996:6.4	tt0778997:6.5	tt0778998:6.6	
