1	tt0543342:6.7	tt0543344:6.6	tt0543350:6.5	tt0543351:6.8	tt0543352:6.4	tt0543356:6.7	tt0543358:6.7	
2	tt0543343:7.5	tt0543345:7.1	tt0543349:7.2	tt0543354:6.8	tt0543362:6.9	tt0543363:8.0	
3	tt0543346:7.0	tt0543347:7.6	tt0543348:7.4	tt0543353:7.5	tt0543357:7.2	tt0543360:6.8	
4	tt0543355:4.7	tt0543359:6.2	tt0543361:5.6	tt0543364:6.8	tt0543365:6.7	tt0543366:6.0	
