1	tt2389698:-	tt2946524:-	tt2969818:-	tt2986500:-	tt2986506:-	tt3006274:-	tt3027444:-	tt3027494:-	tt3027576:-	tt3027660:-	tt3027666:-	tt3055400:-	tt3055404:-	tt3096354:-	tt3096370:-	tt3096380:-	tt3096384:-	tt3111738:-	tt3111744:-	tt3111836:-	tt3111862:-	tt3111904:-	tt3111916:-	tt3111944:-	tt3113146:-	tt3113156:-	tt3113170:-	tt3113178:-	tt3113190:-	tt3113210:-	tt3113222:-	tt3113230:-	tt3113246:-	
2	tt3113270:-	tt3132444:-	tt3133926:-	tt3133948:-	tt3133976:-	tt3134018:-	tt3134048:-	tt3134096:-	tt3139166:-	tt3139200:-	tt3139250:-	tt3141268:-	tt3141272:-	tt3142838:-	tt3154150:-	tt3154286:-	tt3154308:-	tt3154730:-	tt3154786:-	tt3154840:-	tt3154860:-	tt3154928:-	tt3156216:-	tt3156224:-	tt3156238:-	tt3156244:-	tt3156252:-	tt3156278:-	tt3156290:-	tt3156306:-	tt3156312:-	tt3156328:-	
3	tt3144964:-	tt3144968:-	tt3152684:-	tt3166898:-	tt3172210:-	tt3178280:-	tt3186960:-	tt3196892:-	tt3202646:-	tt3211728:-	tt3214956:-	tt3230112:-	tt3233582:-	tt3249752:-	tt3255130:-	tt3263326:-	tt3276668:-	tt3282552:-	tt3285826:-	tt3296516:-	tt3301486:-	tt3313686:-	tt3320606:-	tt3327914:-	tt3332510:-	tt3345974:-	tt3351354:-	tt3360638:-	tt3368882:-	tt3381904:-	tt3384002:-	tt3394952:-	
