1	tt10795390:7.9	tt10795400:8.2	tt10795404:7.7	tt10795410:8.0	tt10795412:7.8	
2	tt11963598:7.6	tt11963606:7.9	tt11963608:7.7	tt11963612:7.5	tt11963614:8.7	tt11963618:8.1	
3	tt13404994:7.0	tt13540470:8.0	tt13540474:7.9	tt13540482:8.8	tt13540492:8.2	tt13540500:8.8	
