1	tt4324888:-	tt4324892:-	tt4324896:-	tt4324908:-	tt4324912:-	tt4324930:-	tt4324932:-	
2	tt4324936:-	tt4324940:-	tt4324952:-	tt4324958:-	tt4324966:-	tt4324976:-	tt4324992:-	tt4325006:-	
3	tt5072900:-	tt5086916:-	tt5462192:-	tt5462212:-	tt5462228:-	tt6390522:-	tt6390530:-	tt6390534:-	
4	tt6360474:-	tt6387028:-	tt6390498:-	tt6390500:-	tt6390504:-	tt6390508:-	tt6390512:-	tt6390516:-	
5	tt8141056:-	tt8186694:-	tt9530186:-	tt9530190:-	tt9547582:-	tt9547616:-	tt9556832:-	tt9556862:-	
6	tt9374910:7.6	tt9532524:6.4	tt9578518:6.4	tt9652272:-	tt9671190:6.2	tt9688898:7.6	tt9731762:-	tt9776664:-	
