1	tt14207882:-	tt14207918:-	tt14207938:-	tt14207952:-	tt14207962:-	tt14207976:-	tt14207988:-	tt14208002:-	tt14208016:-	tt14208048:-	tt14214974:-	tt14214978:-	tt14214986:-	tt14215000:-	tt14215012:-	tt14215016:-	tt14215024:-	tt14215030:-	tt14215038:-	tt14215054:-	tt14215062:-	tt14215068:-	tt14215074:-	tt14235642:-	tt14235654:-	tt14235668:-	tt14235676:-	tt14235682:-	
2	tt14235690:-	tt14235694:-	tt14235698:-	tt14235706:-	tt14235712:-	tt14235714:-	tt14235730:-	tt14235734:-	tt14235740:-	tt14235748:-	tt14235760:-	tt14235768:-	tt14235772:-	tt14235774:-	tt14235778:-	tt14235786:-	tt14235792:-	tt14235798:-	tt14235804:-	tt14235812:-	tt14235816:-	tt14235818:-	tt14235824:-	tt14235828:-	tt14235830:-	tt14235836:-	tt14235840:-	tt14235846:-	tt14235852:-	tt14235856:-	
3	tt14235860:-	tt14235862:-	tt14235870:-	tt14243804:-	tt14243816:-	tt14243824:-	tt14243834:-	tt14243840:-	tt14243846:-	tt14243852:-	tt14243858:-	tt14243862:-	tt14243872:-	tt14243874:-	tt14243894:-	tt14264994:-	tt14265002:-	tt14265010:-	tt14265016:-	tt14265024:-	tt14265028:-	tt14265034:-	tt14265042:-	tt14265050:-	tt14265054:-	tt14265056:-	tt14265060:-	tt14265078:-	tt14265084:-	
4	tt14265092:-	tt14265100:-	tt14265104:-	tt14265112:-	tt14265116:-	tt14265120:-	tt14265126:-	tt14265140:-	tt14268314:-	tt14268316:-	tt14268344:-	tt14268376:-	tt14268412:-	tt14268430:-	tt14268444:-	tt14268490:-	tt14268514:-	tt14268560:-	tt14268568:-	tt14268580:-	tt14268598:-	tt14268630:-	tt14268652:-	tt14268688:-	tt14268712:-	tt14268726:-	tt14268754:-	tt14268778:-	tt14268808:-	
