2	tt0429625:7.3	tt0437383:6.2	tt0437500:8.2	tt1240096:-	tt1240098:-	tt1240099:-	tt1240100:-	
1	tt0462503:3.9	tt0814026:7.0	tt0931559:-	tt0931561:-	tt0931562:-	tt0931563:6.9	tt0931565:-	tt0931567:-	
3	tt0475426:8.2	tt0480260:8.4	tt0808032:-	tt0845639:8.5	tt0890936:-	tt0890937:-	tt0968751:-	
4	tt0857412:-	tt0860842:5.4	tt0860845:-	tt0860924:-	tt0867038:6.2	tt0867135:8.3	tt0870203:-	tt0872033:-	
5	tt0913959:7.7	tt0964984:6.5	tt0964988:8.0	tt0964998:7.2	tt0965000:7.6	tt0965003:7.2	tt0965006:7.2	tt0965007:6.9	
6	tt1160804:7.3	tt1173461:8.5	tt1248281:6.6	tt1255230:-	tt1255231:3.7	tt1255233:6.7	tt1255549:6.6	
7	tt1382230:8.3	tt1397136:7.4	tt1397142:-	tt1397207:-	tt1397212:6.0	tt1397214:7.4	
8	tt1648304:7.9	tt1652480:7.0	tt1652481:8.3	tt1652482:6.8	tt1652483:-	tt1652484:6.7	tt1652485:6.2	
9	tt1847830:8.8	tt1856198:7.2	tt1883517:-	tt1883518:-	tt1883519:-	tt1883520:8.8	tt1883521:5.8	
10	tt2248242:7.0	tt2260144:8.3	tt2263738:-	tt2299364:6.9	tt2325372:-	tt2325502:7.4	tt2332668:-	
11	tt3009094:7.2	tt3025544:6.4	tt3025580:6.6	tt3025598:6.9	tt3025612:6.6	tt3025638:6.5	tt3025656:6.7	
