1	tt4461826:7.3	tt4967800:7.7	tt5005522:7.6	tt5031552:7.5	tt5031554:7.5	tt5031556:7.6	tt5031558:7.4	tt5110076:7.5	tt5123372:7.7	tt5123374:7.6	tt5123376:7.5	tt5347378:6.9	tt5347394:7.4	tt5459318:7.6	tt5459320:7.7	tt5459322:7.6	tt5459326:7.5	tt5567340:7.5	tt5567344:7.6	tt5567346:7.7	tt5718620:7.9	tt5827146:7.7	tt5827152:8.3	tt5827162:7.9	tt5827168:7.8	tt6118056:7.8	tt6300096:7.9	
2	tt5459328:7.7	tt6638240:7.9	tt6638244:7.6	tt6647908:7.4	tt6647914:6.8	tt6647924:7.7	tt6647930:7.6	tt6647946:7.2	tt6740116:7.5	tt6740124:7.5	tt6798112:7.7	tt6798114:7.7	tt6798120:7.8	tt7017062:7.5	tt7017082:7.5	tt7017084:7.7	tt7017088:7.2	tt7117420:7.5	tt7124152:7.5	tt7124166:7.5	tt7240574:7.2	tt7240582:7.5	tt7240584:7.1	tt7582278:7.5	tt7582284:7.5	tt7660568:7.2	
3	tt7148148:7.3	tt8105162:7.7	tt8157804:7.8	tt8172178:7.3	tt8172182:7.3	tt8189214:6.6	tt8189216:7.0	tt8189220:6.7	tt8189224:6.6	tt8189226:6.9	tt8213122:7.4	tt8213126:7.3	tt8213134:7.8	tt8257584:7.9	tt8257588:7.8	tt8257590:7.3	tt8257594:8.3	tt8257596:8.4	tt8257598:8.5	tt8257600:8.5	tt9794884:8.7	tt9794888:8.5	tt9901326:8.4	tt9901330:8.4	tt9901332:8.5	tt9901334:8.7	
