2	tt10041718:9.4	tt10043436:8.5	tt10043452:8.5	tt9169892:9.3	
3	tt10047828:8.4	tt10047888:8.4	tt10047898:8.6	tt9169902:9.1	
4	tt10047926:8.2	tt10047934:8.8	tt10049168:8.7	tt10049170:8.7	tt10136916:8.8	tt10136920:8.7	tt10173770:8.4	tt10173774:8.1	tt10173778:8.4	tt10173790:9.0	tt10173796:8.8	tt10173798:9.3	tt10173804:8.0	tt10173808:8.7	tt10173816:9.2	tt10173820:8.7	tt10173826:8.4	tt10173828:9.0	
5	tt11182160:9.3	tt11182700:9.1	tt11182898:8.4	
6	tt11195724:9.2	tt11195734:8.5	tt11195762:9.2	
7	tt12237862:8.4	tt12237906:7.7	tt12239614:8.7	tt12239618:8.6	tt12248124:8.8	tt12248146:8.6	tt12289712:8.2	tt12289720:9.1	tt12335292:9.0	tt12335314:8.6	tt12379600:8.2	tt12379608:8.1	tt12424336:8.5	tt12424344:7.8	tt12467420:8.3	tt12467428:8.6	tt12515144:9.2	tt12515156:8.7	tt12921662:8.1	tt12921666:8.7	
8	tt13427760:8.0	tt13427772:7.0	
9	tt13630052:8.5	tt13630060:8.6	
10	tt13964214:8.3	tt13964218:7.7	
11	tt14169084:-	tt14169158:-	
1	tt9208582:9.2	tt9208584:8.3	tt9208588:8.5	tt9208590:8.4	tt9208592:8.0	tt9208594:8.3	tt9208596:8.6	tt9208598:8.2	tt9208600:9.3	tt9208602:9.0	tt9208604:8.9	tt9208606:9.2	tt9208608:8.4	
