1	tt0067542:7.6	tt0668226:-	tt0668228:-	tt0668229:-	tt0668231:-	tt0668232:-	tt0668233:6.3	tt0668239:-	tt0668243:-	tt0668244:-	tt0668245:-	tt0668247:-	tt0668251:-	tt0668252:4.1	tt0668253:-	tt0668254:-	tt0668258:-	tt0668260:-	tt0668262:-	tt0668265:-	tt0668267:-	tt0668268:9.5	tt0668269:-	tt0668270:-	
3	tt0641905:-	tt0668223:-	tt0668224:-	tt0668225:-	tt0668246:-	tt0668248:-	tt0668249:-	tt0668255:-	tt0668257:-	tt0668259:-	tt0668261:-	tt0668263:-	tt0668264:-	tt0668266:-	tt0764583:-	tt0764587:-	tt0764588:-	tt0764589:-	tt0764590:-	tt0766188:-	tt0767162:-	tt0767164:-	tt1061661:-	
2	tt0668227:5.5	tt0668230:-	tt0668234:-	tt0668235:7.6	tt0668236:-	tt0668238:-	tt0668240:-	tt0668241:-	tt0668242:-	tt0668250:-	tt0668256:-	tt0668271:-	tt0668272:-	tt0764582:-	tt0764584:-	tt0764585:-	tt0764586:-	tt0764591:-	tt0767163:-	tt0767165:-	tt0767166:-	tt0767167:-	tt0818056:-	
