1	tt1255926:-	tt1255927:-	tt1255928:-	tt1255929:-	tt1255930:-	tt1255931:-	
2	tt1460152:-	tt1460153:-	tt1460154:-	tt1460155:-	tt1460156:-	tt1460157:8.2	
3	tt1690580:-	tt1690581:-	tt1690582:-	tt1690583:-	tt1690584:-	
4	tt2581992:-	tt7955504:-	tt7955532:-	tt7955540:-	
5	tt7955544:-	tt7955548:-	tt7955550:-	tt7955552:-	tt7955556:-	
6	tt7955562:-	tt7955580:-	tt7955596:-	tt7955606:-	
7	tt7955610:-	tt7955614:-	tt7955616:-	tt7955620:-	
8	tt7955622:-	tt7955638:-	tt7955640:-	tt7955656:-	
9	tt7955674:-	tt7955678:-	tt7955686:-	tt7955692:-	
10	tt7955700:-	
