1	tt2670566:7.6	tt3858506:6.2	tt3858514:5.5	tt3858516:6.0	tt3858522:6.4	tt3858524:5.6	tt3858526:6.0	tt3858530:6.0	tt4126672:5.7	tt4126674:5.8	tt4126676:4.9	tt4126680:6.0	tt4126682:6.0	tt4126684:6.2	
2	tt4795336:6.1	tt4795354:5.2	tt4795360:6.2	tt4795366:6.1	tt4795374:5.7	tt4795376:5.7	tt4795378:5.6	tt4795380:5.9	tt4795384:5.4	tt4795386:5.6	tt4795876:6.1	tt4795878:5.1	tt4795886:6.0	
3	tt5725628:6.2	tt5725630:6.7	tt5725634:6.5	tt5725636:6.2	tt5725640:6.2	tt5725644:6.9	tt5725772:6.1	tt5725808:6.2	tt5725850:6.3	tt5725864:6.3	tt5725882:5.7	tt5725922:6.2	tt5725938:6.0	
4	tt6206756:6.0	tt6206762:7.6	tt6206766:7.3	tt6498766:6.4	tt6498768:7.4	tt6498774:7.4	tt6498786:6.8	tt6498796:7.6	tt6498802:7.2	tt6509262:4.8	tt6509272:7.2	tt6509284:7.4	tt6524832:7.0	
