7	tt10233454:-	tt10969948:-	tt10970056:-	tt10970058:-	tt10970064:-	tt10970068:-	tt10970116:-	tt10970118:-	tt10970174:-	tt10970184:-	tt10970196:-	tt10970200:-	tt10970204:-	tt8502422:6.4	tt8962780:-	tt8962782:-	tt8962786:-	tt8962790:-	
8	tt10970212:-	tt10970216:7.0	tt10970258:-	tt10970260:-	tt10970264:-	tt10970306:-	tt10970314:-	tt10970316:-	tt9292328:6.8	tt9559884:7.0	tt9614642:7.0	tt9614652:6.9	tt9614666:7.5	tt9614668:7.9	tt9697522:8.0	tt9697526:8.0	
9	tt10970370:6.4	tt11033788:6.6	tt11033790:5.8	tt11033792:6.0	tt11033794:5.8	tt11033796:5.8	tt11033798:6.0	tt11033800:6.2	tt11033802:6.0	tt11033804:6.2	tt11033806:5.8	tt11033814:6.0	tt11033816:6.1	tt11033822:7.8	tt11033828:-	
10	tt11501696:7.4	tt11501702:7.8	tt11702318:-	tt11702326:7.6	tt11702328:8.0	tt11702336:8.0	tt11702342:7.8	tt12980950:-	tt13661712:-	tt13661750:-	
11	tt12543426:7.8	tt12543436:7.8	tt12760732:-	tt12866760:-	tt12866766:6.8	tt13021104:-	tt13021114:-	tt13021148:-	tt13779658:-	tt13779666:-	tt13779674:-	tt13779996:-	tt13780006:-	tt13780010:-	tt13780012:-	tt13780016:-	
12	tt13693818:6.2	tt14035658:5.8	tt14035682:-	tt14035704:-	tt14035720:5.2	tt14035802:6.0	tt14081336:-	tt14081340:-	tt14171950:5.3	tt14171960:-	tt14171962:-	tt14171964:-	tt14368956:-	tt14368962:-	tt14462198:-	tt14462214:-	
1	tt3878472:6.7	tt3878474:7.5	tt3878480:8.2	tt3881490:7.7	tt3892368:7.9	tt3901684:7.2	tt3916066:7.2	tt3923982:6.7	tt3923984:6.8	tt3973392:6.8	tt3973394:6.8	tt4025608:6.0	tt4025620:6.9	
2	tt4568422:6.8	tt4568444:6.8	tt4568454:6.2	tt4585948:6.5	tt4601184:7.1	tt4611378:6.9	tt4624168:6.8	tt4626422:6.7	tt4653696:7.3	tt4684632:7.5	tt4698432:7.2	tt4716896:7.4	tt4738574:7.4	tt4762724:6.4	tt4778774:7.8	tt4778790:7.6	
3	tt5168154:7.0	tt5273338:6.7	tt5275854:7.3	tt5275862:7.4	tt5288674:6.7	tt5288676:7.3	tt5336472:7.2	tt5336488:7.3	tt5372692:7.3	tt5372694:7.0	tt5475436:7.3	tt5475438:7.2	tt5475444:7.1	tt5584042:7.7	tt5584044:8.2	tt5584050:6.7	
4	tt5859450:6.6	tt5973598:5.8	tt5973608:7.0	tt5973610:7.1	tt5973614:7.0	tt6013854:7.0	tt6918024:6.3	tt6918028:5.9	tt6918030:7.2	tt6918034:5.4	tt6918036:5.3	tt6918038:5.3	tt6918040:5.2	tt6918090:6.3	tt6918092:7.0	tt6918116:5.4	
5	tt6731402:6.8	tt6876624:7.3	tt6876692:6.7	tt6918094:7.3	tt6918098:7.4	tt6918120:7.3	tt6918122:7.4	tt6918124:7.4	tt6918126:6.8	tt6918174:7.7	tt9363066:-	tt9363080:-	tt9363092:-	tt9363098:-	tt9625454:5.2	tt9625584:-	
6	tt7838574:5.5	tt7838580:5.7	tt7881668:5.8	tt7881686:6.0	tt7881770:6.3	tt7881772:6.3	tt8159016:6.0	tt8159026:6.6	tt8159030:6.0	tt8159034:5.7	tt8205618:5.5	tt8205626:6.0	tt8277058:6.5	tt8277068:6.5	tt8277072:6.7	tt9578756:-	tt9625428:6.0	tt9625436:5.8	
