5	tt11456058:-	tt7695302:6.9	tt7695304:7.8	tt7695306:8.0	tt7695308:7.2	tt7695312:7.9	tt7695316:8.1	tt7695318:6.9	tt7695322:7.0	tt7695324:7.8	tt7695328:8.0	tt7695330:7.2	tt7695332:7.4	tt7695336:6.8	
1	tt4171112:7.3	tt4257228:7.7	tt4257234:7.8	tt4257238:8.0	tt4257244:7.8	tt4594992:8.1	tt4648340:7.8	tt4648362:7.8	tt4648366:8.3	tt4648374:8.2	
2	tt5135974:7.6	tt5137812:8.0	tt5137814:7.7	tt5137820:7.8	tt5137826:8.3	tt5137830:7.8	tt5137832:7.7	tt5137838:7.7	tt5137840:7.8	tt5137850:7.2	tt5137856:7.8	tt5137860:7.7	tt5137866:7.8	tt5137872:8.3	tt5137876:7.8	tt5137878:8.0	
3	tt5815648:7.6	tt5815652:7.9	tt5815654:7.0	tt5815658:7.1	tt5815660:7.8	tt5815662:7.4	tt5815664:7.6	tt5815666:7.6	tt5815668:7.8	tt5815670:7.1	tt5815672:7.1	tt5815674:7.9	tt5815676:7.3	
4	tt6236894:8.0	tt6236896:8.2	tt6236898:7.9	tt6236900:8.0	tt6236902:7.7	tt6236904:7.6	tt6236906:8.0	tt6236908:8.1	tt6236912:7.7	tt6236914:7.7	tt6236918:7.6	tt6236920:7.8	tt6236922:8.1	
