3	tt10975122:5.9	tt10982454:6.4	tt11018326:6.7	tt11057936:6.4	tt11097144:6.6	tt11132270:6.8	tt11157012:7.6	tt11191298:7.6	tt11244890:8.1	
4	tt13792964:-	tt14068256:-	tt14068330:-	tt14107024:-	tt14162236:-	tt14211276:-	
1	tt7336808:6.9	tt7596986:6.8	tt7597044:6.7	tt7606932:6.5	tt7639360:6.5	tt7661644:6.7	tt7684834:6.0	tt7713522:5.5	
2	tt8693998:6.5	tt9023836:7.0	tt9038112:6.8	tt9055466:7.0	tt9083792:7.0	tt9134568:7.2	tt9178952:7.0	tt9199744:7.3	
