5	tt11379508:-	tt11379510:-	tt11379514:-	tt11379516:-	
1	tt2188978:8.1	tt2189768:8.2	tt2205714:8.2	tt2223706:8.0	tt2231962:8.2	tt2260560:8.3	tt2307991:8.1	tt2355842:8.7	tt2355848:8.3	tt2433584:8.9	tt2467304:8.6	
2	tt3105218:8.5	tt3109114:8.5	tt3275206:8.4	tt3303884:8.2	tt3335122:7.8	tt3336918:8.6	tt3344626:8.5	tt3344648:8.0	tt3344662:8.9	tt3344668:8.5	
3	tt4123300:9.0	tt4123310:9.3	tt4123316:7.8	tt4135992:8.5	tt4135994:9.0	tt4135996:8.5	tt4135998:8.2	tt4136002:8.7	tt4136004:9.0	tt4136006:8.9	
4	tt5943774:8.5	tt5959184:8.9	tt5959186:8.8	tt5959188:8.8	tt6000410:8.6	tt6000418:8.5	tt6000434:8.4	tt6000444:8.9	tt6113426:8.9	tt6113434:9.2	
