\N	tt13959476:-	tt13967588:-	tt13967592:-	tt13967596:-	tt13967600:-	tt8768116:-	
1	tt3332396:-	tt3332456:8.7	tt3332516:7.8	tt3332532:-	tt3332550:7.0	
2	tt4880884:7.4	tt4883966:-	tt4883986:8.2	tt4884222:-	tt4884240:7.8	
3	tt7169120:7.8	tt7180168:-	tt7180170:6.4	tt7180172:-	tt7180174:7.3	
