1	tt0282764:7.8	tt0289346:7.2	tt0289347:8.1	tt0289348:7.2	tt0289349:7.6	tt0289350:6.9	tt0289351:8.0	
3	tt0653406:8.2	tt0653407:8.1	tt0653409:7.7	tt0653410:7.7	tt0653413:8.0	tt0653414:7.7	tt0653423:6.9	tt0653424:8.1	
2	tt0653408:8.0	tt0653412:7.2	tt0653415:7.4	tt0653419:8.3	tt0653420:7.7	tt0653421:8.1	tt0653425:7.7	tt0653427:8.0	
