\N	tt0467583:9.0	tt2000022:8.8	tt2196138:8.8	
1	tt0507536:7.5	tt0507537:8.8	tt0507538:7.0	tt0507539:7.0	tt0507540:7.5	tt0507541:7.0	
10	tt0507542:8.0	tt0507543:6.6	tt0507544:8.0	tt0507545:8.0	tt0507546:8.0	tt0507547:7.0	
2	tt0507548:7.2	tt0507549:6.8	tt0507550:7.1	tt0507551:7.1	tt0507552:7.0	tt0507553:7.1	
3	tt0507554:8.8	tt0507555:7.4	tt0507556:7.1	tt0507557:7.5	tt0507558:7.4	tt0507559:7.1	tt0507560:7.0	
4	tt0507561:7.1	tt0507562:7.0	tt0507563:7.0	tt0507564:7.1	tt0507565:7.1	tt0507566:7.0	
6	tt0507568:7.0	tt0507569:8.0	tt0507570:8.0	tt0507571:6.2	tt0507572:8.0	tt0507573:7.0	
7	tt0507574:-	tt0507575:-	tt0507576:-	tt0507577:-	tt0507578:-	tt0507579:-	
8	tt0507580:8.0	tt0507581:8.0	tt0507582:7.8	tt0507583:7.8	tt0507584:8.0	tt0507585:8.0	
9	tt0507586:6.7	tt0507587:8.0	tt0507588:7.6	tt0507589:8.0	tt0507590:8.0	tt0507591:8.0	
5	tt0507592:7.1	tt0507593:7.1	tt0507594:7.0	tt0507595:6.5	tt0507596:6.5	tt1086910:7.3	
