1	tt3883190:-	tt4801610:-	tt5897540:-	tt6407538:-	tt6407566:-	tt6407568:-	tt6407572:-	tt6407574:-	tt6407576:-	tt6407580:-	tt6544324:-	tt6544328:-	tt6544330:-	tt6544332:-	tt6544334:-	tt6544336:-	tt6544338:-	tt6544340:-	tt6544342:-	tt6544344:-	tt6544348:-	tt6544350:-	tt6544352:-	tt6544354:-	tt6544356:-	tt6544358:-	tt6544360:-	tt6544362:-	tt6544364:-	tt7237932:-	tt7237934:-	tt7237936:-	tt7237938:-	tt7237940:-	tt7237944:-	tt7237946:-	tt7237948:-	tt7237950:-	tt7237954:-	tt7237960:-	tt7237966:-	tt7237972:-	tt7237974:-	tt7237978:-	tt7237980:-	tt7237982:-	tt7237984:-	tt7237988:-	tt7237994:-	tt7240984:-	tt7240986:-	tt7240988:-	tt7240992:-	tt7240994:-	tt7240998:-	tt7241002:-	tt7241004:-	tt7241006:-	tt7241010:-	tt7241012:-	tt7241014:-	tt7241016:-	tt7241018:-	tt7241020:-	tt7241022:-	tt7241024:-	tt7241032:-	tt7241034:-	tt7241036:-	tt7241038:-	tt7241040:-	tt7241042:-	tt7241044:-	tt7241046:-	tt7241048:-	tt7241052:-	tt7241054:-	tt7241058:-	tt7244774:-	tt7244800:-	tt7244814:-	tt7244822:-	tt7244832:-	tt7244838:-	
2	tt7244792:-	tt7244796:-	tt7244798:-	tt7244808:-	tt7244826:-	tt7244828:-	tt7244836:-	tt7244840:-	tt7244842:-	tt7244844:-	tt7244848:-	tt7244850:-	tt7244852:-	tt7244858:-	tt7247738:-	tt7247740:-	tt7247744:-	tt7247746:-	tt7247748:-	tt7247750:-	tt7247752:-	tt7247754:-	tt7247756:-	tt7247758:-	tt7247760:-	tt7247762:-	tt7247764:-	tt7247766:-	tt7247770:-	tt7247772:-	tt7247774:-	tt7247776:-	tt7247778:-	tt7247780:-	tt7250790:-	tt7250792:-	tt7250794:-	tt7250796:-	tt7250798:-	tt7250800:-	tt7250802:-	tt7250804:-	tt7250806:-	tt7250808:-	tt7250810:-	tt7250812:-	tt7250814:-	tt7250816:-	tt7250818:-	tt7250820:-	tt7250822:-	tt7250826:-	tt7250828:-	tt7250830:-	tt7253652:-	tt7253654:-	tt7253656:-	tt7253658:-	tt7253660:-	tt7253662:-	tt7253666:-	tt7253668:-	tt7253670:-	tt7253672:-	tt7253674:-	tt7253676:-	tt7253678:-	tt7253680:-	tt7253684:-	tt7253686:-	tt7253688:-	tt7253690:-	tt7253692:-	tt7253694:-	tt7257606:-	tt7257612:-	tt7257614:-	tt7257616:-	tt7257618:-	tt7257620:-	tt7257624:-	tt7257626:-	tt7257628:-	tt7257630:-	tt7257632:-	
3	tt7257634:-	tt7257636:-	tt7257638:-	tt7257640:-	tt7257642:-	tt7257644:-	tt7257646:-	tt7257648:-	tt7257650:-	tt7261620:-	tt7261624:-	tt7261626:-	tt7261628:-	tt7261630:-	tt7261634:-	tt7261638:-	tt7261640:-	tt7261642:-	tt7261644:-	tt7261648:-	tt7261652:-	tt7261658:-	tt7261660:-	tt7261662:-	tt7261664:-	tt7261666:-	tt7261668:-	tt7261670:-	tt7261672:-	tt7265172:-	tt7265176:-	tt7265178:-	tt7265180:-	tt7265182:-	tt7265184:-	tt7265192:-	tt7265194:-	tt7265196:-	tt7265198:-	tt7265202:-	tt7265206:-	tt7265208:-	tt7265212:-	tt7265214:-	tt7265216:-	tt7265218:-	tt7265222:-	tt7265224:-	tt7265226:-	tt7265228:-	tt7265230:-	tt7265232:-	tt7265234:-	tt7265238:-	tt7265240:-	tt7265244:-	tt7265246:-	tt7265254:-	tt7265264:-	tt7269884:-	tt7269886:-	tt7269890:-	tt7269892:-	tt7269894:-	tt7269896:-	tt7269898:-	tt7269900:-	tt7269902:-	tt7269904:-	tt7269908:-	tt7269910:-	tt7269912:-	tt7269914:-	tt7269916:-	tt7269918:-	tt7269920:-	tt7269922:-	tt7269924:-	tt7269926:-	tt7273886:-	tt7273888:-	tt7273890:-	tt7273892:-	tt7273894:-	tt7273896:-	
4	tt7273898:-	tt7273900:-	tt7273902:-	tt7273904:-	tt7273906:-	tt7273908:-	tt7273910:-	tt7273912:-	tt7273914:-	tt7273916:-	tt7273918:-	tt7273920:-	tt7273922:-	tt7273924:-	tt7273928:-	tt7273932:-	tt7273934:-	tt7273936:-	tt7273938:-	tt7273940:-	tt7273944:-	tt7273946:-	tt7273950:-	tt7273952:-	tt7276290:-	tt7276292:-	tt7276294:-	tt7276296:-	tt7276298:-	tt7276300:-	tt7276302:-	tt7276304:-	tt7276306:-	tt7276310:-	tt7276312:-	tt7276314:-	tt7276318:-	tt7276320:-	tt7276322:-	tt7276324:-	tt7276326:-	tt7276328:-	tt7276330:-	tt7276332:-	tt7280192:-	tt7280196:-	tt7280198:-	tt7280204:-	tt7280206:-	tt7280210:-	tt7280212:-	tt7280214:-	tt7280216:-	tt7280220:-	tt7280222:-	tt7280224:-	tt7280226:-	tt7280228:-	tt7280230:-	tt7280232:-	tt7280234:-	tt7280236:-	tt7280238:-	tt7280240:-	tt7284224:-	tt7284226:-	tt7284228:-	tt7284230:-	tt7284232:-	tt7284234:-	tt7284236:-	tt7284238:-	tt7284240:-	tt7284248:-	tt7284250:-	tt7284252:-	tt7284254:-	tt7284256:-	tt7284258:-	tt7284260:-	tt7284262:-	tt7284270:-	tt7284276:-	tt7284280:-	tt7517576:-	
