1	tt1729408:8.1	tt1729409:8.1	tt1729715:8.5	tt1729716:8.3	tt1729717:8.5	tt1729718:8.7	tt1730801:8.2	tt1730802:8.5	tt1778454:8.5	
2	tt2074556:8.6	tt2081635:8.3	tt2081636:8.2	tt2081637:8.2	tt2081638:8.1	tt2081639:8.4	tt2081640:8.3	tt2081641:8.6	
3	tt2899054:8.2	tt2913804:8.5	tt2913814:8.4	tt2913820:8.5	tt2913822:8.6	tt2913824:8.4	
4	tt3744206:8.3	tt3744214:8.2	tt3744216:8.1	tt3744218:8.2	tt3744222:8.1	tt3744224:8.4	tt3744230:8.1	tt3744236:8.2	
5	tt4747520:8.4	tt4769738:8.1	tt4769772:8.3	tt4769782:8.3	tt4769796:8.6	tt4769812:8.6	tt4774092:8.7	tt4808770:8.3	
